ComID,GeogName,Datagroup,Year,total
pro9046,Manitoba,Retail Trade,2011,6746
can,Canada,All Industries,2010,2362860
can,Canada,All Industries,2011,2405323
cnt1201,Shelburne County,All Industries,2011,1331
cnt1201,Shelburne County,All Industries,2010,1372
cnt1202,Yarmouth County,All Industries,2011,2066
cnt1202,Yarmouth County,All Industries,2010,2072
cnt1203,Digby County,All Industries,2010,1348
cnt1203,Digby County,All Industries,2011,1297
cnt1204,Queens County,All Industries,2010,556
cnt1204,Queens County,All Industries,2011,543
cnt1205,Annapolis County,All Industries,2011,1309
cnt1205,Annapolis County,All Industries,2010,1037
cnt1206,Lunenburg County,All Industries,2010,3032
cnt1206,Lunenburg County,All Industries,2011,3069
cnt1207,Kings County,All Industries,2011,3242
cnt1207,Kings County,All Industries,2010,3577
cnt1208,Hants County,All Industries,2010,2043
cnt1208,Hants County,All Industries,2011,2006
cnt1209,Halifax County,All Industries,2010,24030
cnt1209,Halifax County,All Industries,2011,23997
cnt1210,Colchester County,All Industries,2010,2963
cnt1210,Colchester County,All Industries,2011,2862
cnt1211,Cumberland County,All Industries,2010,1644
cnt1211,Cumberland County,All Industries,2011,1639
cnt1212,Pictou County,All Industries,2010,2243
cnt1212,Pictou County,All Industries,2011,2373
cnt1213,Guysborough County,All Industries,2010,553
cnt1213,Guysborough County,All Industries,2011,508
cnt1214,Antigonish County,All Industries,2010,1239
cnt1214,Antigonish County,All Industries,2011,1262
cnt1215,Inverness County,All Industries,2011,974
cnt1215,Inverness County,All Industries,2010,1054
cnt1216,Richmond County,All Industries,2010,458
cnt1216,Richmond County,All Industries,2011,437
cnt1217,Cape Breton County,All Industries,2010,3957
cnt1217,Cape Breton County,All Industries,2011,3850
cnt1218,Victoria County,All Industries,2010,884
cnt1218,Victoria County,All Industries,2011,865
ecr21,Cape Breton Region,All Industries,2011,6126
ecr21,Cape Breton Region,All Industries,2010,6353
ecr22,North Shore Region,All Industries,2010,8642
ecr22,North Shore Region,All Industries,2011,8644
ecr23,Annapolis Valley Region,All Industries,2010,6657
ecr23,Annapolis Valley Region,All Industries,2011,6557
ecr24,Southern Region,All Industries,2010,8380
ecr24,Southern Region,All Industries,2011,8306
ecr25,Halifax Region,All Industries,2011,23997
ecr25,Halifax Region,All Industries,2010,24030
pro9010,Newfoundland and Labrador,All Industries,2011,26014
pro9010,Newfoundland and Labrador,All Industries,2010,25958
