ComID,GeogName,Datagroup,Year,Total
pro9046,Manitoba,Retail Trade,2011,"6,746"
can,Canada,All Industries,2010,"2,362,860"
can,Canada,All Industries,2011,"2,405,323"
cnt1201,Shelburne County,All Industries,2011,"1,331"
cnt1201,Shelburne County,All Industries,2010,"1,372"
cnt1202,Yarmouth County,All Industries,2011,"2,066"
cnt1202,Yarmouth County,All Industries,2010,"2,072"
cnt1203,Digby County,All Industries,2010,"1,348"
cnt1203,Digby County,All Industries,2011,"1,297"
cnt1204,Queens County,All Industries,2010,556
cnt1204,Queens County,All Industries,2011,543
cnt1205,Annapolis County,All Industries,2011,"1,309"
cnt1205,Annapolis County,All Industries,2010,"1,037"
cnt1206,Lunenburg County,All Industries,2010,"3,032"
cnt1206,Lunenburg County,All Industries,2011,"3,069"
cnt1207,Kings County,All Industries,2011,"3,242"
cnt1207,Kings County,All Industries,2010,"3,577"
cnt1208,Hants County,All Industries,2010,"2,043"
cnt1208,Hants County,All Industries,2011,"2,006"
cnt1209,Halifax County,All Industries,2010,"24,030"
cnt1209,Halifax County,All Industries,2011,"23,997"
cnt1210,Colchester County,All Industries,2010,"2,963"
cnt1210,Colchester County,All Industries,2011,"2,862"
cnt1211,Cumberland County,All Industries,2010,"1,644"
cnt1211,Cumberland County,All Industries,2011,"1,639"
cnt1212,Pictou County,All Industries,2010,"2,243"
cnt1212,Pictou County,All Industries,2011,"2,373"
cnt1213,Guysborough County,All Industries,2010,553
cnt1213,Guysborough County,All Industries,2011,508
cnt1214,Antigonish County,All Industries,2010,"1,239"
cnt1214,Antigonish County,All Industries,2011,"1,262"
cnt1215,Inverness County,All Industries,2011,974
cnt1215,Inverness County,All Industries,2010,"1,054"
cnt1216,Richmond County,All Industries,2010,458
cnt1216,Richmond County,All Industries,2011,437
cnt1217,Cape Breton County,All Industries,2010,"3,957"
cnt1217,Cape Breton County,All Industries,2011,"3,850"
cnt1218,Victoria County,All Industries,2010,884
cnt1218,Victoria County,All Industries,2011,865
ecr21,Cape Breton Region,All Industries,2011,"6,126"
ecr21,Cape Breton Region,All Industries,2010,"6,353"
ecr22,North Shore Region,All Industries,2010,"8,642"
ecr22,North Shore Region,All Industries,2011,"8,644"
ecr23,Annapolis Valley Region,All Industries,2010,"6,657"
ecr23,Annapolis Valley Region,All Industries,2011,"6,557"
ecr24,Southern Region,All Industries,2010,"8,380"
ecr24,Southern Region,All Industries,2011,"8,306"
