OBJECTID,LOC_ID,WORK_DESC,PROJ_NO,CATEGORY,YEAR
107101,CPLID1019,Functional Design,CTU01365,Traffic Improvements,2016
107102,CPLID1219,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107103,CPLID1216,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107104,CPLID1217,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107105,CPLID1218,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107106,CPLID1220,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107107,CPLID1221,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107108,CPLID1222,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107109,CPLID135,Street Recapitalization,CYX01345,Roads & Streets,2013
107110,CPLID136,Street Recapitalization,CYX01345,Roads & Streets,2013
107111,CPLID137,Street Recapitalization,CYX01345,Roads & Streets,2013
107112,CPLID138,Streetscape improvements (South Entrance),CDV00734,Community & Property Development,2013
107113,CPLID139,Streetscape improvements,CDV00734,Community & Property Development,2013
107114,CPLID80,Functional deficiency improvements - entry meeting rooms & security desk,CBX01273,Buildings,2013
107115,CPLID77,Masonry restoration,CBX01274,Buildings,2013
107116,CPLID78,Masonry restoration & windows,CBX01274,Buildings,2013
107117,CPLID79,Masonry restoration,CBX01274,Buildings,2013
107118,CPLID81,Street Recapitalization,CYX01345,Roads & Streets,2013
107119,CPLID82,Street Recapitalization,CYX01345,Roads & Streets,2013
107120,CPLID84,Park renewal,CP000002,Parks and Playgrounds,2013
107121,CPLID1030,Asphalt Overlay,CR000005,Roads & Active Transportation,2016
107122,CPLID13,Service Improvements - Security equipment upgrades,CMU00982,Metro Transit,2014
107123,CPLID1182,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2017
107124,CPLID1397,Field rehabilitation,CP000003,Parks & Playgrounds,2017
107125,CPLID1237,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107126,CPLID1454,Consulting,CB000077,Buildings,2017
107127,CPLID1399,Perimeter walkway paving,CP000003,Parks & Playgrounds,2017
107128,CPLID1456,Consulting,CB000077,Buildings,2017
107129,CPLID45,Street Recapitalization - State of good repair,CR000005,Roads & Streets,2014
107130,CPLID979,Play Structure,CP000002,Parks & Playgrounds,2016
107131,CPLID1034,Asphalt Overlay,"CR000005
",Roads & Active Transportation,2016
107132,CPLID1223,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107133,CPLID1224,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107134,CPLID1226,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107135,CPLID1227,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107136,CPLID1228,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107137,CPLID1437,Roof Repairs,CBX01272,Buildings,2017
107138,CPLID1434,Exterior upgrades and playground,CB000075,Buildings,2017
107139,CPLID1435,Building Recapitalization,CB000051,Buildings,2017
107140,CPLID1436,Roof Repairs,CBX01272,Buildings,2017
107141,CPLID1438,"Mechanical, electrical and paving upgrades",CB000060,Buildings,2017
107142,CPLID1440,Roof repairs,CBX01272,Buildings,2017
107143,CPLID1441,"Heating, flooring and electrical upgrades",CB000068,Buildings,2017
107144,CPLID85,Park renewal,CP000002,Parks and Playgrounds,2013
107145,CPLID86,Curb Renewal,CYU01076,Roads & Streets,2013
107146,CPLID87,Variable messaging signs,CTX01115,Traffic Improvements,2013
107147,CPLID88,Park renewal,CP000002,Parks and Playgrounds,2013
107148,CPLID89,Boat launch upgrade,CPX01331,Parks and Playgrounds,2013
107149,CPLID94,Glenforest to Main,CR000003,"Sidewalks, Curbs & Gutters",2013
107150,CPLID91,Lighting standards and distribution panels,CBX01275,Buildings,2013
107151,CPLID92,Waterproofing,CB000002,Buildings,2013
107152,CPLID93,Seawall repairs,CBX01271,Buildings,2013
107153,CPLID95,Hollis to Lower Water,CKU01084,"Sidewalks, Curbs & Gutters",2013
107154,CPLID96,Herring Cove to Mayo,CKU01084,"Sidewalks, Curbs & Gutters",2013
107155,CPLID97,Accessibility upgrades,CBX01154,Buildings,2013
107156,CPLID50,Street Recapitalization - State of good repair,CR000005,Roads & Streets,2014
107157,CPLID992,Play Structure,CP000002,Parks & Playgrounds,2016
107158,CPLID1195,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2017
107159,CPLID1242,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107160,CPLID5,Sidewalk Renewals,CKU01084,Sidewalks,2014
107161,CPLID1197,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2017
107162,CPLID1411,Design for a new/expanded facility,CB000017,Halifax Transit,2017
