ComID,DataGroup,Year,Female - .,Male - .
can,Total Reporting,2006.00,7976370.00,8884805.00
can,Total Reporting,1996.00,6549055.00,7768485.00
can,Total Reporting,2001.00,7265430.00,8311130.00
CHB11,Total Reporting,2006.00,10697.00,12638.00
CHB11,Total Reporting,1996.00,9315.00,12103.00
CHB11,Total Reporting,2001.00,10251.00,12670.00
CHB12,Total Reporting,2006.00,2237.00,2575.00
CHB12,Total Reporting,2001.00,2031.00,2720.00
CHB12,Total Reporting,1996.00,2010.00,3074.00
CHB21,Total Reporting,2006.00,2028.00,2322.00
CHB21,Total Reporting,1996.00,1882.00,2622.00
CHB21,Total Reporting,2001.00,1990.00,2440.00
CHB22,Total Reporting,2006.00,2325.00,2589.00
CHB22,Total Reporting,1996.00,2064.00,2699.00
CHB22,Total Reporting,2001.00,2220.00,2545.00
CHB23,Total Reporting,1996.00,3195.00,4605.00
CHB23,Total Reporting,2006.00,3325.00,4364.00
CHB23,Total Reporting,2001.00,3424.00,4533.00
CHB24,Total Reporting,1996.00,5351.00,6972.00
CHB24,Total Reporting,2006.00,6161.00,6792.00
CHB24,Total Reporting,2001.00,5657.00,6953.00
CHB31,Total Reporting,2001.00,3507.00,4246.00
CHB31,Total Reporting,2006.00,3701.00,4217.00
CHB31,Total Reporting,1996.00,3459.00,4469.00
CHB32,Total Reporting,1996.00,4833.00,5685.00
CHB32,Total Reporting,2001.00,5096.00,5840.00
CHB32,Total Reporting,2006.00,5568.00,5960.00
CHB33,Total Reporting,2001.00,2476.00,3166.00
CHB33,Total Reporting,1996.00,2409.00,3431.00
CHB33,Total Reporting,2006.00,2542.00,3193.00
CHB34,Total Reporting,2006.00,3593.00,3981.00
CHB34,Total Reporting,2001.00,3257.00,3661.00
CHB34,Total Reporting,1996.00,3153.00,3978.00
CHB35,Total Reporting,2006.00,3101.00,3723.00
CHB35,Total Reporting,2001.00,2880.00,3613.00
CHB35,Total Reporting,1996.00,2529.00,3375.00
CHB41,Total Reporting,1996.00,1683.00,2307.00
CHB41,Total Reporting,2001.00,1930.00,2345.00
CHB41,Total Reporting,2006.00,1878.00,2202.00
CHB42,Total Reporting,1996.00,3628.00,4875.00
CHB42,Total Reporting,2001.00,4073.00,5249.00
CHB42,Total Reporting,2006.00,4742.00,5613.00
CHB43,Total Reporting,1996.00,911.00,1289.00
CHB43,Total Reporting,2001.00,1006.00,1218.00
CHB43,Total Reporting,2006.00,1222.00,1413.00
CHB44,Total Reporting,1996.00,1721.00,2371.00
CHB44,Total Reporting,2006.00,2253.00,2521.00
CHB44,Total Reporting,2001.00,2095.00,2562.00
CHB45,Total Reporting,1996.00,6479.00,7230.00
CHB45,Total Reporting,2006.00,6976.00,7661.00
CHB45,Total Reporting,2001.00,6683.00,7394.00
CHB51,Total Reporting,2001.00,1066.00,1404.00
CHB51,Total Reporting,1996.00,1056.00,1428.00
CHB51,Total Reporting,2006.00,1126.00,1374.00
CHB52,Total Reporting,2001.00,656.00,798.00
CHB52,Total Reporting,2006.00,625.00,784.00
CHB52,Total Reporting,1996.00,618.00,868.00
CHB53,Total Reporting,2001.00,4994.00,5613.00
CHB53,Total Reporting,2006.00,5241.00,5263.00
CHB53,Total Reporting,1996.00,4755.00,5787.00
CHB61,Total Reporting,2001.00,7076.00,8520.00
CHB61,Total Reporting,1996.00,6767.00,8617.00
CHB61,Total Reporting,2006.00,7861.00,8815.00
CHB62,Total Reporting,2006.00,2470.00,2921.00
CHB62,Total Reporting,2001.00,2464.00,3001.00
CHB62,Total Reporting,1996.00,2200.00,3063.00
CHB71,Total Reporting,2001.00,4415.00,4984.00
CHB71,Total Reporting,1996.00,4040.00,5074.00
CHB71,Total Reporting,2006.00,4809.00,5164.00
CHB72,Total Reporting,2006.00,1880.00,2320.00
CHB72,Total Reporting,2001.00,1840.00,2401.00
CHB72,Total Reporting,1996.00,1890.00,2536.00
CHB73,Total Reporting,2006.00,3459.00,4248.00
CHB73,Total Reporting,1996.00,3320.00,4384.00
CHB73,Total Reporting,2001.00,3542.00,4255.00
CHB81,Total Reporting,2006.00,1759.00,1960.00
CHB81,Total Reporting,1996.00,1611.00,2121.00
CHB81,Total Reporting,2001.00,1579.00,1972.00
CHB82,Total Reporting,2006.00,933.00,978.00
CHB82,Total Reporting,1996.00,995.00,1076.00
CHB82,Total Reporting,2001.00,970.00,954.00
CHB83,Total Reporting,2006.00,1804.00,1994.00
CHB83,Total Reporting,1996.00,1769.00,1940.00
CHB83,Total Reporting,2001.00,1689.00,1889.00
CHB84,Total Reporting,1996.00,9775.00,11130.00
CHB84,Total Reporting,2006.00,10677.00,10449.00
CHB84,Total Reporting,2001.00,9627.00,9898.00
CHB85,Total Reporting,2006.00,7013.00,6450.00
CHB85,Total Reporting,1996.00,5689.00,7427.00
CHB85,Total Reporting,2001.00,6454.00,6418.00
CHB86,Total Reporting,2006.00,5060.00,5311.00
CHB86,Total Reporting,1996.00,4576.00,5618.00
CHB86,Total Reporting,2001.00,4929.00,5304.00
CHB91,Total Reporting,2006.00,5878.00,6812.00
CHB91,Total Reporting,2001.00,5084.00,6466.00
CHB91,Total Reporting,1996.00,4662.00,6376.00
CHB92,Total Reporting,2006.00,4884.00,5669.00
CHB92,Total Reporting,1996.00,4382.00,5580.00
CHB92,Total Reporting,2001.00,4560.00,5665.00
CHB93,Total Reporting,2001.00,19919.00,22306.00
CHB93,Total Reporting,1996.00,16978.00,20184.00
CHB93,Total Reporting,2006.00,22299.00,23893.00
CHB94,Total Reporting,1996.00,15363.00,17328.00
CHB94,Total Reporting,2001.00,16676.00,17588.00
CHB94,Total Reporting,2006.00,17779.00,17733.00
CHB95,Total Reporting,2001.00,11102.00,12086.00
CHB95,Total Reporting,1996.00,9736.00,11318.00
CHB95,Total Reporting,2006.00,12152.00,12701.00
CHB96,Total Reporting,2006.00,20439.00,20787.00
CHB96,Total Reporting,1996.00,18790.00,19410.00
CHB96,Total Reporting,2001.00,20282.00,20173.00
CHB97,Total Reporting,2006.00,24308.00,23899.00
CHB97,Total Reporting,1996.00,18007.00,19643.00
CHB97,Total Reporting,2001.00,20510.00,21456.00
CNT1201,Total Reporting,2001.00,3420.00,4535.00
