ID,Description
CPLID1,Berlin St. Oxford to Dublin
CPLID10,Main Ave. Ford to Bedford Highway
CPLID100,Harrietsfield School
CPLID1000,Northwest Arm
CPLID1001,Demetreous Lane Court
CPLID1002,Mainland Common
CPLID1003,Metropolitan Field
CPLID1004,Mount Edward Ball Field
CPLID1005,Baker Drive
CPLID1006,Western Commons
CPLID1007,101 Landfill
CPLID1008,Otter Lake
CPLID1009,Bayer's Lake - 20 Horseshoe Lake Drive
CPLID101,Basinview School
CPLID1010,Ragged Lake - 61 Evergreen Place
CPLID1011,Cogswell Street Interchange
CPLID1012,Barrington St at MacKay Bridge Interchange Appr
CPLID1013,Argyle Street
CPLID1014,Herring Cove (PCR and Armdale Roundabout)
CPLID1015,Gottingen at Cogswell
CPLID1016,Hammonds Plains at Crestfield
CPLID1017,Fall River at Trunk 2
CPLID1018,Windsor/Cunard/Chebucto
CPLID1019,MacLennan Drive
CPLID102,Uplands Park
CPLID1020,Fairview Overpass
CPLID1021,Dartmouth Sportsplex
CPLID1022,Waverley Rd - Civic #814 to Spider Lake
CPLID1023,Simmonds Rd - North Preston to End
CPLID1024,Cow Bay Rd - Buffalo Club to Dyke (S)
CPLID1025,Dyke Rd - Frederick to Cow Bay (S)
CPLID1026,Astral Dr - Caldwell to Selig
CPLID1027,"Colby Dr - Deerbrooke to Hampton Green
"
CPLID1028,Colby Dr - Cumberland to Briarlynn (S)
CPLID1029,"Fiddlers Grn - Nova to Flagstone
"
CPLID103,Gaston Road Park
CPLID1030,"Flagstone Dr - Colby to Flagstone
"
CPLID1031,"Hampton Grn - 2014 Limits to Colby
"
CPLID1032,"Commodore Dr - Spectacle Lake to Burnside
"
CPLID1033,"Finlay Dr (W) - Wright to 80m S McClure
"
CPLID1034,Finlay Dr (E) - 80m S McClure to Wright
CPLID1035,Finlay Dr - 80m S McClure to Commodore
CPLID1036,Leaman Dr - Crystal to Cul du Sac
CPLID1037,"South Park St - University to Spring Garden
"
CPLID1038,Cornwallis St - Barrington to North Park
CPLID1039,Chebucto Rd - Armdale Rot to Mumford
CPLID104,Albro Lake Boardwalk
CPLID1040,Mumford Rd - Chebucto to Leppert
CPLID1041,Stuart Graham Dr - Mumford to End
CPLID1042,"Radcliffe Dr - Stockleigh to Lacewood 
"
CPLID1043,Lacewood Dr - Lincoln Cross to Radcliffe
CPLID1044,"Larry Uteck Blvd - Bluewater to Hammonds Plains
"
CPLID1045,"Trunk 2 - Holland to Collins
"
CPLID1046,"Winley Dr - Windsor Junction to Ingram
"
CPLID1047,"North Preston Rd - Johnson to Simmonds
"
CPLID1048,"Dyke Rd - Frederick to Cow Bay (N)
"
CPLID1049,Bissett Rd - Cow Bay to Civic #1051
CPLID105,Ravenscraig to Fleming Park Trail
CPLID1050,Mount Edward Rd - Bellevista to Lucien
CPLID1051,"Trunk 7 - Forest Hills to Montague
"
CPLID1052,"Pleasant St - Portland to Renfrew
"
CPLID1053,Main St - Ridgecrest to Forest Hills
CPLID1054,"Waverley Rd - Braemar to Breeze
"
CPLID1055,"Barrington St - MacKay Bridge to Duffus
"
CPLID1056,Old Sambro Rd - MacIntosh Run to Rockingstone
CPLID1057,Langbrae - Parkland to Dunbrack
CPLID1058,"Millwood Dr - Sackville to Rafting
"
CPLID1059,"Sackville Dr - Patton (E) to Patton (W)
"
CPLID106,Lost Creek Park
CPLID1060,Old Sackville Rd - Sackville to Sackville Cross
CPLID1061,"Meadowbrook Dr - Bedford Hwy to Basinview
"
CPLID1062,Idlewylde - Withrod to End
CPLID1063,Bond St - Evans to Vimy
CPLID1064,Aldergrove Dr - Herring Cove to End
CPLID1065,"Charlton Ave - Herring Cove to End
"
CPLID1066,"Whalen Ave - Herring Cove to End
"
CPLID1067,"Hayes St - Charlton to End
"
CPLID1068,"Pockwock Rd - 2.6 km from End to End
"
CPLID1069,"Colby Dr - Hampton Green to Hardisty
"
CPLID107,Hubbards
CPLID1070,St Margaret`s Bay Rd - Douglas to Fenerty
CPLID1071,BR74 Oakland Rd CN Bridge
CPLID1072,Canavan Dr - Danny to End
CPLID1073,"Station 4, 5830 Duffus Street Halifax"
CPLID1074,"Station 13, 86 King Street Dartmouth"
CPLID1075,Dartmouth Sportsplex
CPLID1076,St. Margaret's Centre
CPLID1077,Shore Rd - Romkey to Caldwell
CPLID1078,Atlantic St - Pleasant to Ferry Terminal
CPLID1079,Windmill Rd - Seapoint to Bancroft
CPLID108,Kinsmen Beach
CPLID1080,Strath Ln - Rannoch to Raymoor
CPLID1081,Hammonds Plains Rd - Brookshire to Smith
CPLID1082,Bedford Hwy - Civic 1687 to Walkway to Rocky Lake
CPLID1083,Mount Hope to Woodside - Orion Court to Pleasant Street
CPLID1084,Morris - LeMarchant to Lower Water
CPLID1085,Barrington Greenway - North to Niobi Gate
CPLID1086,Penhorn Lake Greenway
CPLID1087,Halifax Urban Greenway
CPLID1088,Chain of Lakes Greenway 
CPLID1089,St Margarets Bay Rails
CPLID109,Kingswood
CPLID1090,Sackville Greenway
CPLID1091,Swan Crescent - Carmella to End
CPLID1092,Evans Drive - Halfway Lake to End
CPLID1093,Birchpond Crt - Tara to End
CPLID1094,Carmella Dr - Route 333 to Lot B22
CPLID1095,Bayshore Dr - Prospect to Lot 19
CPLID1096,Glendale Dr - McDougall to Metropolitan
CPLID1097,St. Margaret's Bay Rd - Douglas to Fenerty
CPLID1098,Canavan Dr - Danny to End
CPLID1099,Portland St - Green Village to Hwy 111
CPLID11,Titus St. Evans to Main
CPLID110,Quinn St - Chebucto to Quinpool
CPLID1100,Burnside Drive - Commodore to Wright
CPLID1101,MacDonald Sports Park
CPLID1102,Porters Lake 
CPLID1103,Windmill Rd - Wright to Civic 552
