Registry ID,Co-op Name,Incorporation Year,Address,Town,Province/State,Postal Code,Type
3023460,340 RANCHER'S CO-OPERATIVE LIMITED,1998,"PO BOX 149, 102 LANGFORD ROAD",WEYMOUTH,NS,B0W 3T0,AGRICULTURE
3057952,ABC HOUSING CO-OPERATIVE LIMITED,2001,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,HOUSING
3309533,ABILITY WOOD PRODUCTS CO-OPERATIVE LIMITED,2017,C/O THE CAPE SOCIETY - 40 LOWER MCLEAN ST. ,GLACE BAY ,NS,B1A 2K1,RETAIL CONSUMER PRODUCTS
3306569,ABUNDANCE COOPERATIVE LIMITED,2017,404 FARMINGTON RD,BARSS CORNER,NS,B0R 1A0,AGRICULTURE
3073275,ACADIA CINEMA COOPERATIVE LTD.,2002,450 MAIN STREET,WOLFVILLE,NS,B4P 1E2,SERVICES
3251438,(ACBC) ATLANTIC COUNCIL BIOENERGY COOPERATIVE LIMITED,2011,60 TWEEDNOOGE PLACE,EAST BAY,NS,B1J 1M6,SERVICES
3277515,AFRICAN COMMUNITY INVESTMENTS COOPERATIVE OF CANADA LTD.,2013,"VEITH HOUSE, 
3115 VEITH STREET",HALIFAX,NS,B3K 3G9,INVESTMENT
3265866,AILEEN'S PETS WITHOUT VETS CO-OPERATIVE LTD.,2012,"PO BOX 45 
STN WHITNEY PIER",SYDNEY,NS,B1N 3B1,SERVICES
1459758,ALBRO COURT HOUSING CO-OPERATIVE LIMITED,1982,2 CEDAR COURT,DARTMOUTH,NS,B3A 2K2,HOUSING
3052710,ALDERBERRY VILLAGE CRAFT CO-OPERATIVE LIMITED,2001,49 INGLIS PLACE,TRURO,NS,B2N 4B5,WORKER LABOUR
3233867,ALL NOVA SCOTIA GREEN CHRISTMAS TREE CO-OP LTD.,2009,PO BOX 98,NEW GERMANY,NS,B0R 1E0,FOREST PRODUCTS
3280780,AMHERST TRAIN STATION ARTISAN GALLERY COOPERATIVE LIMITED,2014,"142 SOUTH ALBION STREET, SUITE 130",AMHERST,NS,B4H 4H4,CRAFT PRODUCTS
3293059,ANTIGONISH COMMUNITY ENERGY COOPERATIVE LIMITED,2015,59 MACKEN ROAD,ANTIGONISH LANDING,NS,B2G 2L2,SERVICES
1743824,ANTIGONISH FARM AND GARDEN CO-OPERATIVE LIMITED,1986,91 ST. ANDREWS STREET,ANTIGONISH,NS,B2G 2G9,RETAIL CONSUMER PRODUCTS
2467461,APAQTAUKEWAQ FISHERIES CO-OP LTD.,1995,22 ESTHERICH ROAD,"CHAPEL ISLAND, RICHMOND CO",NS,B0E 3B0,FISH PRODUCTS
1486567,APPLE BLOSSOM HOUSING CO-OPERATIVE LIMITED,1983,P.O. BOX 576,KENTVILLE,NS,B4N 3X7,HOUSING
3319680,ARC OF THE COAST EASTERN CAPE BRETON COOPERATIVE ALLIANCE LTD.,2018,8704 GABARUS HWY ,GABARUS ,NS,B1K 3R9,SERVICES
3254480,ARGYLE FARMERS' & ARTISANAL MARKET CO-OPERATIVE LIMITED,2011,67 WILLIAM ROBBINS ROAD,TUSKET,NS,B0W 3M0,AGRICULTURE
2252510,ARIMATHEA FUNERAL CO-OPERATIVE LIMITED,1993,"8741 HIGHWAY #224, BOX 45
",UPPER MUSQUODOBOIT,NS,B0N 2M0,SERVICES
3232669,ART 1274 HOLLIS CO-OPERATIVE LIMITED,2008,1274 HOLLIS STREET,HALIFAX,NS,B3J 1T6,CRAFT PRODUCTS
3280816,ARTISYNC TECHNOLOGIES CO-OP LTD.,2014,812 UPPER PRINCE STREET,SYDNEY,NS,B1P 5N7,CRAFT PRODUCTS
3277711,ARTPORT GALLERY COOPERATIVE LIMITED,2014,701 LAKEVIEW AVENUE,MIDDLE SACKVILLE,NS,B4E 3B8,CRAFT PRODUCTS
1350939,ATHOL FORESTRY COOPERATIVE LIMITED,1977,"21397 HIGHWAY #2
",FORT LAWRENCE,NS,B4H 3Y5,FOREST PRODUCTS
2484748,ATLANTIC CO-OPERATIVE CED INSTITUTE LTD.,1995,PO BOX 1872,TRURO,NS,B2N 6C7,SERVICES
1350942,ATLANTIC FILMMAKERS CO-OPERATIVE LIMITED,1974,"P.O. BOX 2043, STN.  M",HALIFAX,NS,B3J 2Z1,SERVICES
1451701,ATLANTIC HOUSING CO-OPERATIVE LIMITED,1981,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,HOUSING
1798935,ATLANTIS HOUSING CO-OPERATIVE LIMITED,1987,"143 RYLAND AVENUE, UNIT 24",TRURO,NS,B2N 6L4,HOUSING
1351007,BADDECK VALLEY WOOD PRODUCERS CO-OPERATIVE LTD.,1973,BOX 512,"BADDECK, VICTORIA CO.",NS,B0E 1B0,FOREST PRODUCTS
3039702,BARRACHOIS RETREAT CO-OPERATIVE LIMITED,2000,1120 SANDPOINT ROAD,TATAMAGOUCHE,NS,B0K 1V0,WORKER LABOUR
1349506,BAXTER'S HARBOUR CO-OPERATIVE LIMITED,1976,208 WENEGA ROAD RR 5,CANNING,NS,B0P 1H0,WORKER LABOUR
3015550,BCA INVESTMENT CO-OPERATIVE LIMITED,1998,"
C/O BCA HOLDINGS LTD.
 P.O. BOX 1201",SYDNEY,NS,B1P 6J9,INVESTMENT
3091436,BIG EAST COOPERATIVE LIMITED,2004,PO BOX 34,KENTVILLE,NS,B4N 3V9,AGRICULTURE
1354477,BLACK ROSE CO-OPERATIVE LIMITED,1977,2044 KLINE STREET,HALIFAX,NS,B3L 2X3,HOUSING
3018267,BRAS D'OR PRODUCERS CO-OPERATIVE LIMITED,1998,300 MILLVILLE HIGHWAY,MILLVILLE,NS,B1Y 2E2,AGRICULTURE
3316039,BRETON FOREST INNOVATION CO-OPERATIVE LTD.,2018,905 RIVER DENYS ROAD,JUDIQUE,NS,B0E 1P0,FOREST PRODUCTS
1351470,BRIDGEWATER FARMERS COOPERATIVE SOCIETY LIMITED,1946,123 ELM ST.,BRIDGEWATER,NS,B4V 2V5,RETAIL CONSUMER PRODUCTS
1655565,BROOKSIDE ABATTOIR CO-OPERATIVE LIMITED,1985,24 BROOKSIDE BRANCH ROAD,BIBLE HILL,NS,B6L 2A6,AGRICULTURE
3020069,C.A.J. WOODWORKERS CO-OPERATIVE LIMITED,1998,"1296 ASHFIELD ROAD, RR #5",ORANGEDALE,NS,B0E 2K0,WORKER LABOUR
1914722,CANSO CO-OPERATIVE HEALTH CENTRE LIMITED,1988,BOX 62,CANSO,NS,B0H 1H0,SERVICES
1371852,CANSO CO-OPERATIVE LIMITED,1937,PO BOX 34,CANSO,NS,B0H 1H0,RETAIL CONSUMER PRODUCTS
