PROJ_NO,PROJ_NAME
CTU01365,MacLennan Drive
CR000005,Street Recapitalization
CYX01345,Street Recapitalization
CDV00734,Streetscaping in center hubs/corridors
CBX01273,Architecture - Interior (Category 5)
CBX01274,Architecture - Exterior (Category 2)
CP000002,Park Assets - State of Good Repair
CMU00982,"Street Recapitalization
"
CKU01084,Transit Security
CP000003,Sidewalk Renewals
CB000077,Sports Fields/Courts - State of Good Repair
"CR000005
",Library Masterplan Implementation
CBX01272,Park Upgrades
CB000075,"Street Recapitalization
"
CB000051,Roof Recapitalization
CB000060,Dartmouth North Community Centre Upgrades
CB000068,Evergreen House
CYU01076,Sackville Sports Stadium
CTX01115,Tallahassee Recreation Centre Upgrades
CPX01331,Curb Renewals
CR000003,Variable Messaging Signs
CBX01275,Regional Water Access/ Beach Upgrades
CB000002,New Sidewalks
CBX01271,Electrical (Category 7)
CBX01154,Multi District Facilities-Upgrades (Bundle)
CB000017,Site Work (Category 1)
CBX01165,Accessibility - HRM Facilities
CBX01157,New/Expanded Transit Centre
CB000006,Regional Library Facility Upgrade
CBW00978,Alderney Gate Recapitalization
CBX01162,Dartmouth Sportsplex Revitalization
CP000020,Central Library Replacement
CR000007,Environmental Remediation/Building Demolition
CP000017,Cemetery Upgrades
CP000018,Wrights Cove Terminal
CD990003,Baker Drive Parkland Development
CP000004,Beazley Field Complex
CT000007,Cultural Spaces
CB000049,"Parks, Sports Courts & Fields - Service Improvement"
CTX01116,Cogswell Interchange Redevelopment
CB000069,Dartmouth Multi-Pad
CR000009,Herring Cove Road Widening
CRU01077,Eric Spicer
CR000002,Street Recapitalization
CR990001,Bridges
CRU01079,New Paving Streets - HRM Owned Roads
CPX01196,New Paving Subdivision Streets - Provincial
CP000014,Other Road Related Works
CB000030,Regional Trails Active Transportation
CTU00420,Regional Water Access/Beach Upgrades
CB000023,Western Common Master Plan Implementation
CB000063,Beazley Field Grandstands & Upgrades
CP000010,Roof (Category 3)
CB000045,New Sidewalk
CPX01193,Captain William Spry Renovations
CBX01344,Carroll's Corner Community Centre
CDG01135,Cole Harbour Outdoor Pool & Tennis Court
CDV00721,Cole Harbour Place
CTU01086,New Paving Subdivision St's Provincial
CBX01046,Public Gardens Upgrades
CVU01207,Active Transportation
CQ000008,Skating Oval
CBX01164,Cultural Structures and Places
CBX01171,HRM Public Art
CBX01140,Watershed Studies
CR000001,Streetscaping in Center Hubs and Corridors
CT000001,Regional Trails
CDX01182,Intersection Improvement Program
CB000028,Halifax City Hall and Grand Parade Restoration
CTU01006,New Streets
CB000035,Ice Resurfacers Replacement
CB000039,Burnside & City of Lakes Development
CB000042,Transit Facilities Upgrades (Bundle)
CBM00711,Ferry Terminal Pontoon Rehabilitation
CP110002,Guide Rails
CP000011,Metropark Upgrades
CB000011,Storm Sewer Upgrades
CB000024,North Park Corridor Improvements
CB000025,Downtown Streetscapes
CBX01102,Bridge Repairs
CBX01170,New Streets
CBX01269,Scotiabank Centre
CB000004,Active Transportation Plan Implementation
