ComID,GeogName
can,Canada
CHB11,Lunenburg County
CHB12,Queens County
CHB21,Clare
CHB22,Digby & Area
CHB23,Shelburne
CHB24,Yarmouth
CHB31,Annapolis
CHB32,Central Kings
CHB33,Kingston/Greenwood
CHB34,Eastern Kings
CHB35,Western Kings
CHB41,Along The Shore
CHB42,East Hants
CHB43,North Shore Area
CHB44,South Colchester
CHB45,Truro & Area
CHB51,Pugwash and Area
CHB52,"Southhampton, Parrsboro, Advocate and Regions"
CHB53,"Springhill, Oxford, Amherst and Regions"
CHB61,Central and East Pictou
CHB62,Pictou West
CHB71,Antigonish Town and County
CHB72,Guysborough County
CHB73,Strait Richmond
CHB81,Central Inverness
CHB82,North Inverness
CHB83,Victoria County
CHB84,Central Cape Breton County
CHB85,East Cape Breton County
CHB86,Northside The Lakes
CHB91,Eastern Shore - Musquodoboit
CHB92,West Hants
CHB93,Cobequid
CHB94,Dartmouth
CHB95,Southeastern
CHB96,Halifax Peninsula
CHB97,Chebucto West
CNT1201,Shelburne County
CNT1202,Yarmouth County
CNT1203,Digby County
CNT1204,Queens County
CNT1205,Annapolis County
CNT1206,Lunenburg County
CNT1207,Kings County
CNT1208,Hants County
CNT1209,Halifax County
CNT1210,Colchester County
CNT1211,Cumberland County
CNT1212,Pictou County
CNT1213,Guysborough County
CNT1214,Antigonish County
CNT1215,Inverness County
CNT1216,Richmond County
CNT1217,Cape Breton County
CNT1218,Victoria County
COM1001,Wittenburg
COM1002,Stewiacke
COM1003,Old Barns
COM1004,Brookfield
COM1005,Upper Stewiacke
COM1006,Greenfield
COM1007,Hilden
COM1008,Millbrook First Nation (Millbrook (27))
COM1009,Truro
COM101,Welshtown
COM1010,Bible Hill
COM1011,East Mountain
COM1012,Earltown
COM1013,Tatamagouche
COM1014,New Annan
COM1015,Lower Onslow
COM1016,Debert
COM1017,Glenholme
COM1018,Economy
COM102,Lockeport
COM103,Shelburne
COM104,Clyde River
COM105,Barrington
COM106,Cape Sable Island
COM107,Tobeatic - Tidney River Wilderness
COM1101,Parrsboro
COM1102,Advocate Harbour
COM1103,River Hebert
COM1104,Springhill
COM1105,Wentworth
COM1106,Oxford
COM1107,Amherst
COM1108,Tidnish
COM1109,Port Howe
COM1110,Pugwash
COM1111,Wallace
com1112,Paqtnkek First Nation (Franklin Manor (22))
COM1201,River John
COM1202,Pictou
COM1203,Scotsburn
COM1204,Salt Springs
COM1205,Hopewell
COM1206,Westville
COM1207,Stellarton
COM1208,New Glasgow
COM1209,Trenton
COM1210,Pictou Landing
COM1211,Pictou Landing First Nation (Fisher's Grant (24))
COM1212,Little Harbour
COM1213,Thorburn
COM1214,Blue Mountain
COM1215,Merigomish
com1216,Pictou Landing First Nation (Boat Harbour West (37))
COM1217,Pictou Landing First Nation (Merigomish Harbour (31))
COM1301,Melrose
COM1302,Sherbrooke
COM1303,Cross Roads Country Harbour
COM1304,Larrys River
COM1305,Canso
COM1306,Guysborough
COM1307,Mulgrave
COM1401,Lochaber
COM1402,Salt Springs
COM1403,James River
COM1404,Clydesdale
COM1405,Malignant Cove
COM1406,Mahoneys Beach
COM1407,Antigonish
COM1408,Lower South River
COM1409,St. Andrews
COM1410,Pomquet
COM1411,Paqtnkek First Nation (Pomquet & Afton (23))
COM1412,Tracadie
COM1413,Havre Boucher
com1414,Paqtnkek First Nation (Summerside (38))
COM1501,Port Hawkesbury
COM1502,Long Point
COM1503,Port Hood
COM1504,Mabou
COM1505,Glendale
COM1506,Waycobah First Nation (Whycocomagh (2))
COM1507,Whycocomagh
COM1508,Inverness
COM1509,Margaree
COM1510,Cheticamp
COM1511,Pictou Landing First Nation (Malagawatch (4))
COM1601,Dundee
COM1602,Isle Madame
COM1603,Louisdale
COM1604,St. Peter's
COM1605,L'Ardoise
COM1606,Chapel Island First Nation (Chapel Island (5))
COM1701,Boularderie Island (Victoria)
COM1702,Albert Bridge
COM1703,Big Ridge-French Road
COM1704,Birch Grove-Tower Road
COM1705,Blacketts Lake
COM1706,Boisdale-Castle Bay and Area
COM1707,Boularderie Island (CBRM)
COM1708,Coxheath
COM1709,Dominion
COM1710,Donkin-Port Caledonia
COM1711,Dutch Brook-Caribou Marsh
COM1712,East Bay Area
COM1713,Eskasoni First Nation (Eskasoni (3))
COM1714,Florence-Bras D'Or
COM1715,Frenchvale-Beechmont and Area
COM1716,Gardiner Mines
COM1717,Georges River and Area
COM1718,Glace Bay
COM1719,Grand Lake Road
COM1720,Grand Mira North
COM1721,Grand Mira South
COM1722,Greater Gabarus
COM1723,Howie Centre
COM1724,Lingan Road
COM1725,Lingan-River Ryan and Area
COM1726,Louisbourg
COM1727,Marion Bridge
COM1728,Membertou First Nation (Membertou (28B))
COM1729,Mira Gut-Lorraine and Area
COM1730,Mira Road
COM1731,New Victoria-Victoria Mines
COM1732,New Waterford
COM1733,North Sydney
COM1734,Northside East Bay-Islandview
COM1735,Point Edward Peninsula
COM1736,Port Morien
COM1737,Prime Brook
COM1738,Reserve Mines
COM1739,Round Island-Black Brook and Area
COM1740,South Bar
COM1741,Sydney
COM1742,Sydney Forks-Portage
COM1743,Sydney Mines
COM1744,Sydney River
COM1745,Upper North Sydney-Leitches Creek and Area
COM1746,Westmount
COM1747,Fortress of Louisbourg
com1748,Membertou First Nation (Sydney (28A))
com1749,Membertou First Nation (Caribou Marsh (29))
COM1801,Little Narrows
COM1802,Baddeck
COM1803,Wagmatcook First Nation (Wagmatcook (1))
COM1804,Englishtown
COM1805,Ingonish
COM1806,Cape Breton Highlands National Park
COM1807,Dingwall
COM201,Pubnico
COM202,Tusket
COM203,Argyle
