School Code,School Name,Address,Mailing Postal Code,Telephone,Email,Board Code,AreaID
1,TATAMAGOUCHE ELEMENTARY SCHOOL ,30 CHURCH ST TATAMAGOUCHE NS,B0K 1V0,9026576220,HOLMESB@CCRSB.CA,53,264600022
1,FOREST RIDGE ACADEMY,30 CHURCH ST30 CHURCH ST TATAMAGOUCHE NS,B0K 1V0,902 657 6220,HOLMESB@CCRSB.CA,53,264600022
2,ECOLE STELLA-MARIS,66 EAST COURT RD66 EAST COURT RD TRURO NS,B2N 4M8,902 896 5790,FOUGEREKJ@CCRSB.CA,53,267900535
3,WALTER DUGGAN CONSOLIDATED SCHOOL,2370 SPRING GARDEN RD WESTVILLE NS,B0K 2A0,9023962700,SLATERA@CCRSB.CA,53,89100005
3,PLEASANT BAY SCHOOL,RR 32370 SPRING GARDEN RD WESTVILLE NS,B0K 2A0,902 396 2700,SLATERA@CCRSB.CA,53,89100005
4,SCOTSBURN ELEMENTARY SCHOOL ,4100 SCOTSBURN RD SCOTSBURN NS,B0K 1R0,9024857980,FORTUNEM@CCRSB.CA,53,83300008
4,DIGBY REGIONAL HIGH SCHOOL,4100 SCOTSBURN RD4100 SCOTSBURN RD SCOTSBURN NS,B0K 1R0,902 485 7980,FORTUNEM@CCRSB.CA,53,83300008
5,NORTH COLCHESTER HIGH SCHOOL ,90 BLAIR AVE TATAMAGOUCHE NS,B0K 1V0,9026576200,THOMSONTW@CCRSB.CA,53,264600022
6,CUNARD JUNIOR HIGH SCHOOL,103 PICTOU RD103 PICTOU RD TRURO NS,B2N 2S2,902 896 5507,FOUGEREKJ@CCRSB.CA,53,267900535
7,BIBLE HILL JUNIOR HIGH SCHOOL ,741 COLLEGE RD TRURO NS,B2N 5Y9,9028965500,HAZELTOND@CCRSB.CA,53,267900535
7,WILLIAM KING ELEMENTARY SCHOOL,741 COLLEGE RD741 COLLEGE RD TRURO NS,B2N 5Y9,902 896 5500,HAZELTOND@CCRSB.CA,53,267900535
8,GLACE BAY HIGH SCHOOL ,201 RESERVE ST GLACE BAY NS,B1A 4W3,9028494247,DONNIEHOLLAND@GNSPES.CA,51,68500117
9,NORTH RIVER ELEMENTARY SCHOOL ,80 MOUNTAIN LEE RD NORTH RIVER NS,B6L 6M2,9028965530,BISHOPAMEROHA@CCRSB.CA,53,265800072
9,NEW GLASGOW ACADEMY,80 MOUNTAIN LEE RD80 MOUNTAIN LEE RD NORTH RIVER NS,B6L 6M2,902 896 5530,BISHOPAMEROHA@CCRSB.CA,53,265800072
12,VALLEY ELEMENTARY SCHOOL ,96 SALMON RIVER RD VALLEY NS,B6L 2S5,9028965540,WALLK@CCRSB.CA,53,266100120
12,LOCKEPORT REGIONAL HIGH SCHOOL,96 SALMON RIVER RD96 SALMON RIVER RD VALLEY NS,B6L 2S5,902 896 5540,WALLK@CCRSB.CA,53,266100120
14,COBEQUID CONSOLIDATED ELEMENTARY SCHOOL,2998 HWY 236 OLD BARNS NS,B6L 1K3,9028965560,MCINNISND@CCRSB.CA,53,270300002
14,BROOKFIELD ELEMENTARY SCHOOL,2998 HWY 2362998 HIGHWAY 236 OLD BARNS NS,B6L 1K3,902 896 5560,MCINNISND@CCRSB.CA,53,270300002
15,HILDEN ELEMENTARY SCHOOL ,1737 TRURO RD HILDEN NS,B0N 1C0,9028965750,KAULBACHL@CCRSB.CA,53,#N/A
15,ELLENVALE JUNIOR HIGH SCHOOL,RR 11737 TRURO RD BROOKFIELD NS,B0N 1C0,902 896 5750,KAULBACHL@CCRSB.CA,53,268500116
16,BROOKFIELD ELEMENTARY SCHOOL ,233 HWY 289 BROOKFIELD NS,B0N 1C0,9026735050,WEATHERBEEKL@CCRSB.CA,53,268500116
16,JUBILEE ELEMENTARY SCHOOL,233 HWY 289233 HIGHWAY 289 BROOKFIELD NS,B0N 1C0,902 673 5050,WEATHERBEEKL@CCRSB.CA,53,268500116
18,UPPER STEWIACKE ELEMENTARY SCHOOL,5327 HWY 289 UPPER STEWIACKE NS,B0N 2P0,9026713000,LANGILLELD@CCRSB.CA,53,267000010
18,GAETZ BROOK JUNIOR HIGH SCHOOL,5327 HWY 2895327 HIGHWAY 289 UPPER STEWIACKE NS,B0N 2P0,902 671 3000,ELLISP@CCRSB.CA,53,267000010
20,CENTRAL COLCHESTER JUNIOR HIGH SCHOOL,61 ONSLOW RD CENTRAL ONSLOW NS,B6L 5K4,9028965570,MACPHERSONC@CCRSB.CA,53,263700072
20,SHEET HARBOUR CONSOLIDATED SCHOOL,61 ONSLOW RD61 ONSLOW RD CENTRAL ONSLOW NS,B6L 5K4,902 896 5570,MACPHERSONC@CCRSB.CA,53,263700072
24,HANTSPORT SCHOOL ,PO BOX 39211 SCHOOL ST HANTSPORT NS,B0P 1P0,9026844000,HS@AVRSB.CA,55,146100073
24,SAINT MARY'S ELEMENTARY SCHOOL,PO BOX 39211 SCHOOL ST HANTSPORT NS,B0P 1P0,902 684 4000,HS@AVRSB.CA,55,146100073
26,GREAT VILLAGE ELEMENTARY SCHOOL,8849 HWY 2 GREAT VILLAGE NS,B0M 1L0,9026686500,SMITHC@CCRSB.CA,53,262900009
26,ECOLE DES BEAUX-MARAIS,8849 HWY 28849 HIGHWAY 2 GREAT VILLAGE NS,B0M 1L0,902 668 6500,SMITHC@CCRSB.CA,53,262900009
27,CHIGANOIS ELEMENTARY SCHOOL ,11145 HWY 2 DEBERT NS,B0M 1G0,9026624420,HARNISHK@CCRSB.CA,53,263600024
27,MUSQUODOBOIT RURAL HIGH SCHOOL,11145 HWY 211145 HIGHWAY 2 DEBERT NS,B0M 1G0,902 662 4420,HARNISHK@CCRSB.CA,53,263600024
28,DEBERT ELEMENTARY SCHOOL ,PO BOX 2791320 MASSTOWN RD DEBERT NS,B0M 1G0,9026624400,ARMSTRONGS@CCRSB.CA,53,263600024
28,FAIRVIEW JUNIOR HIGH SCHOOL,PO BOX 2791320 MASSTOWN RD DEBERT NS,B0M 1G0,902 662 4400,COXE@CCRSB.CA,53,263600024
29,WEST COLCHESTER CONSOLIDATED SCHOOL,27 MAPLE AVE BASS RIVER NS,B0M 1B0,9026473500,OAKLEYC@CCRSB.CA,53,262700009
29,MIRA ROAD SCHOOL,27 MAPLE AVE27 MAPLE AVE BASS RIVER NS,B0M 1B0,902 647 3500,OAKLEYC@CCRSB.CA,53,262700009
30,ENFIELD DISTRICT SCHOOL ,29 CATHERINE ST ENFIELD NS,B2T 1L4,9028835300,KNOLT@CCRSB.CA,53,307500032
31,ELMSDALE DISTRICT ELEMENTARY SCHOOL,75 MACMILLAN DR ELMSDALE NS,B2S 1A5,9028835350,ALLEYM@CCRSB.CA,53,137600077
31,HILDEN ELEMENTARY SCHOOL,75 MACMILLAN DR75 MACMILLAN DR ELMSDALE NS,B2S 1A5,902 883 5350,ALLEYM@CCRSB.CA,53,137600077
34,SHUBENACADIE DISTRICT ELEMENTARY SCHOOL,54 MILL VILLAGE RD SHUBENACADIE NS,B0N 2H0,9027584600,PEVERILMF@CCRSB.CA,53,135400055
34,BRIDGEWATER ELEMENTARY SCHOOL,54 MILL VILLAGE RD54 MILL VILLAGE RD SHUBENACADIE NS,B0N 2H0,902 758 4600,WHELANSM@CCRSB.CA,53,135400055
36,COBEQUID DISTRICT ELEMENTARY SCHOOL,8993 HWY 354 NOEL NS,B0N 2C0,9023692960,HARVEYC@CCRSB.CA,53,133100013
36,PENTZ ELEMENTARY SCHOOL,8993 HWY 3548993 HIGHWAY 354 NOEL NS,B0N 2C0,902 369 2960,ISENORR@CCRSB.CA,53,133100013
38,KENNETCOOK DISTRICT ELEMENTARY SCHOOL,4369 HWY 236 KENNETCOOK NS,B0N 1P0,9023623300,SEARLELM@CCRSB.CA,53,134500032
