AreaID,Area Name
16400010,BROOKDALE NS
15500009,NORTHPORT NS
12000006,WALLACE NS
41400032,LOUISDALE NS
400015242,MOUNT UNIACKE NS
122300045,MONASTERY NS
62900007,IONA NS
27700001,MABOU NS
118300007,MARYVALE NS
125100009,ST ANDREWS NS
83500037,PICTOU NS
133100013,NOEL NS
136900009,UPPER RAWDON NS
183000022,AUBURN NS
47400061,ARICHAT N.-E.
184000005,WINDSOR NS
400011,ADVOCATE HARBOUR NS
216900017,CARLETON NS
400039784,WEYMOUTH NS
400022128,BARTON NS
216000021,PORT MAITLAND NS
267000010,UPPER STEWIACKE NS
262900009,GREAT VILLAGE NS
219100044,ARCADIA NS
400046381,SHAG HARBOUR NS
270300002,OLD BARNS NS
400035544,LAHAVE NS
256200009,NEW ROSS NS
285100032,WEYMOUTH NS
400008115,SAULNIERVILLE N.-E.
263600024,DEBERT NS
400044609,ARCADIA NS
400003899,HEBBVILLE NS
227000021,PUBNICO-OUEST N.-E.
247000005,NEWCOMBVILLE NS
295900028,SANDY COVE NS
289200021,RIVIERE-AUX-SAUMONS N.-E.
317100007,HEAD OF CHEZZETCOOK NS
318200062,PORTERS LAKE N.-E.
134500032,KENNETCOOK NS
137300107,MILFORD NS
400023353,DUTCH SETTLEMENT NS
310000008,UPPER MUSQUODOBOIT NS
400030642,OYSTER POND NS
400031150,TANGIER NS
268500116,BROOKFIELD NS
182200091,CAMBRIDGE NS
400038148,MIDDLE MUSQUODOBOIT NS
223600046,TUSKET N.-E.
400030325,NEWPORT NS
400035777,GLENWOOD NS
256400083,CHESTER BASIN NS
400011960,LANTZ NS
169300054,GREENFIELD NS
16600445,AMHERST NS
16600518,AMHERST NS
400028748,BADDECK NS
242100242,LUNENBURG NS
400041681,BEDFORD NS
67200424,NORTH SYDNEY NS
7400016,SPRINGHILL NS
66000054,FLORENCE NS
7400089,SPRINGHILL NS
13900029,PUGWASH NS
8100002,RIVER HEBERT NS
319805294,HALIFAX N.-E.
7400153,SPRINGHILL NS
66000064,FLORENCE NS
66400358,NEW WATERFORD NS
2500093,PARRSBORO NS
66100230,SYDNEY MINES NS
66100232,SYDNEY MINES NS
400044781,NEW WATERFORD NS
66100147,SYDNEY MINES NS
66400400,NEW WATERFORD NS
66400060,NEW WATERFORD NS
66700015,DOMINION NS
68200167,SYDNEY NS
68200698,SYDNEY NS
68200707,SYDNEY NS
68200663,SYDNEY NS
67200364,NORTH SYDNEY NS
68200185,WHITNEY PIER NS
400025438,SYDNEY NS
68201001,SYDNEY NS
68201125,SYDNEY NS
68400054,RESERVE MINES NS
68700022,DONKIN NS
400041131,SYDNEY N.-E.
68500117,GLACE BAY NS
319500293,EASTERN PASSAGE NS
68500379,GLACE BAY NS
69300089,SYDNEY RIVER NS
69300052,SYDNEY NS
69400068,WESTMOUNT NS
70900131,HOWIE CENTRE NS
400029710,MARION BRIDGE NS
54200020,INGONISH NS
400012690,NEIL'S HARBOUR NS
41400040,LOUISDALE NS
68500568,GLACE BAY NS
89100005,WESTVILLE NS
88200027,PICTOU NS
68500894,GLACE BAY NS
143500011,SUMMERVILLE NS
72300045,LOUISBOURG NS
81900118,PICTOU NS
400021282,BOULARDERIE NS
89200051,STELLARTON NS
20500038,CHETICAMP N.-E.
400004658,SHAD BAY NS
111200062,MULGRAVE NS
83300008,SCOTSBURN NS
81900008,PICTOU NS
400023901,STELLARTON NS
135400055,SHUBENACADIE NS
123900236,ANTIGONISH NS
87400101,TRENTON NS
137600077,ELMSDALE NS
101800003,SHERBROOKE NS
400005552,YARMOUTH NS
35300097,PORT HAWKESBURY NS
181500061,PORT WILLIAMS NS
87500106,NEW GLASGOW NS
87400163,TRENTON NS
156000037,LOCKEPORT NS
28200040,PORT HOOD NS
181800059,KENTVILLE NS
400019923,UPPER TANTALLON NS
400010225,GUYSBOROUGH NS
182900027,AYLESFORD NS
109100029,GUYSBOROUGH NS
154200082,SHELBURNE NS
198500084,BRIDGETOWN NS
218100015,HEBRON NS
182600054,BERWICK NS
198500014,BRIDGETOWN NS
145800168,WINDSOR NS
400049242,WINDSOR NS
218800196,YARMOUTH NS
218800322,YARMOUTH NS
400034340,GREENWOOD NS
145800165,WINDSOR NS
350003214,GREENWOOD N.-E.
200000035,MIDDLETON NS
239900538,BRIDGEWATER NS
197900029,GRANVILLE FERRY NS
146500003,CURRY'S CORNER NS
182100137,COLDBROOK NS
400004019,LAWRENCETOWN NS
400049977,KINGSTON NS
160400029,CLARK'S HARBOUR NS
146100073,HANTSPORT NS
26900058,WHYCOCOMAGH NS
319100060,NORTH PRESTON NS
400012702,ASPY BAY NS
20100023,PLEASANT BAY NS
200000096,MIDDLETON NS
184800124,NEW MINAS NS
184800128,NEW MINAS NS
184800131,NEW MINAS NS
202800049,ANNAPOLIS ROYAL NS
400008265,CALEDONIA NS
177900008,BERWICK NS
400033235,CLEMENTSPORT NS
186300032,WOLFVILLE NS
185100075,WOLFVILLE NS
180400029,CANNING NS
2500037,PARRSBORO NS
171800132,LIVERPOOL NS
297000101,DIGBY NS
297000105,DIGBY NS
180400005,CANNING NS
186200012,WOLFVILLE NS
400008151,LIVERPOOL NS
239900166,BRIDGEWATER NS
267900535,TRURO NS
145900122,FALMOUTH NS
268300032,BROOKFIELD NS
218800470,YARMOUTH NS
400014624,TUSKET N.-E.
263700072,CENTRAL ONSLOW NS
267900100,TRURO NS
267900257,TRURO N.-E.
263200035,DEBERT NS
67200376,NORTH SYDNEY NS
400052294,PETITE RIVIERE NS
225400015,WEDGEPORT N.-E.
262700009,BASS RIVER NS
23600023,INVERNESS NS
400025823,TRURO NS
287900005,LABUTTE N.-E.
286900013,POINTE-DE-L'EGLISE N.-E.
236700084,MAHONE BAY NS
400042450,SYDNEY NS
258300057,CHESTER NS
264600022,TATAMAGOUCHE NS
306400380,MIDDLE SACKVILLE NS
350001601,MAHONE BAY NS
319301535,DARTMOUTH NS
238200034,NEW GERMANY NS
295100015,FREEPORT NS
306400289,LOWER SACKVILLE NS
266000159,TRURO NS
265800072,NORTH RIVER NS
319802464,HALIFAX NS
306400310,LOWER SACKVILLE N.-E.
266000130,TRURO NS
318300076,LAKE ECHO NS
266000123,TRURO NS
266100120,VALLEY NS
400049998,VALLEY NS
306400248,LOWER SACKVILLE NS
400056979,PORTERS LAKE NS
319802642,HALIFAX NS
306400441,LOWER SACKVILLE NS
319300787,DARTMOUTH NS
319301073,DARTMOUTH NS
306400432,LOWER SACKVILLE NS
306400433,LOWER SACKVILLE NS
319802622,HALIFAX NS
400014335,MIDDLE SACKVILLE NS
400001159,HALIFAX NS
319802435,HALIFAX NS
319301302,DARTMOUTH NS
319301006,DARTMOUTH NS
318800051,DARTMOUTH NS
400044190,LOWER SACKVILLE NS
306400506,LOWER SACKVILLE NS
400002163,HALIFAX NS
306400213,MIDDLE SACKVILLE NS
318800106,DARTMOUTH NS
318800043,COLE HARBOUR NS
306400668,LOWER SACKVILLE NS
318600101,LAWRENCETOWN NS
318800144,COLE HARBOUR NS
306400672,LOWER SACKVILLE NS
318800224,DARTMOUTH NS
306400822,LOWER SACKVILLE NS
318800082,DARTMOUTH NS
88900057,ALMA NS
319500182,EASTERN PASSAGE NS
318800310,DARTMOUTH NS
318800349,DARTMOUTH NS
306500135,BEAVER BANK NS
318800012,DARTMOUTH NS
400019142,BEAVER BANK NS
306500108,BEAVER BANK NS
306900041,WAVERLEY NS
318900152,DARTMOUTH NS
319800440,HALIFAX NS
350003945,FALL RIVER NS
319800084,HALIFAX NS
69500217,COXHEATH NS
307100015,FLETCHERS LAKE NS
319800421,HALIFAX NS
307000080,FALL RIVER NS
307500032,ENFIELD NS
319301216,DARTMOUTH NS
319300278,DARTMOUTH N.-E.
319300983,DARTMOUTH NS
318900161,WESTPHAL NS
350003950,FALL RIVER NS
400054412,CHERRY BROOK NS
319301867,DARTMOUTH NS
319500173,EASTERN PASSAGE NS
319800860,HALIFAX NS
319800683,HALIFAX NS
319301957,DARTMOUTH NS
319301140,DARTMOUTH NS
319302049,DARTMOUTH NS
400014179,HEAD ST MARGARET'S BAY NS
306100158,HAMMONDS PLAINS NS
400012675,DARTMOUTH NS
319800810,HALIFAX NS
319801318,HALIFAX NS
319801325,HALIFAX NS
319301123,DARTMOUTH NS
319301399,DARTMOUTH NS
319300606,DARTMOUTH NS
319800941,HALIFAX NS
319300465,DARTMOUTH NS
306300366,BEDFORD NS
319801644,HALIFAX NS
313400047,SHEET HARBOUR NS
306300275,BEDFORD NS
319801983,HALIFAX NS
305800082,UPPER TANTALLON NS
350002216,HALIFAX NS
319300304,DARTMOUTH NS
319301396,DARTMOUTH NS
319801899,HALIFAX NS
306300562,BEDFORD NS
319801952,HALIFAX NS
400002148,HALIFAX NS
69100138,SYDNEY NS
306100244,HAMMONDS PLAINS NS
319302550,DARTMOUTH NS
319804894,HALIFAX NS
316700058,MUSQUODOBOIT HBR NS
319803643,HALIFAX NS
319803689,HALIFAX NS
400003191,HALIFAX NS
319301348,DARTMOUTH NS
319802055,HALIFAX NS
400003677,BEDFORD NS
400035904,BARRINGTON NS
305000067,HUBBARDS NS
319803620,HALIFAX NS
400053972,HALIFAX NS
318200395,PORTERS LAKE NS
264600059,TATAMAGOUCHE NS
319804857,HALIFAX NS
319302579,DARTMOUTH NS
319303580,DARTMOUTH NS
319803293,HALIFAX NS
306100409,HAMMONDS PLAINS NS
35300296,PORT HAWKESBURY NS
319803435,HALIFAX NS
87500823,NEW GLASGOW NS
87500836,NEW GLASGOW NS
321300036,HARRIETSFIELD NS
319803752,HALIFAX NS
400017481,MILL COVE NS
321100013,SAMBRO NS
320000055,HERRING COVE NS
320000059,HERRING COVE NS
123900384,ANTIGONISH NS
321700063,TIMBERLEA NS
288400038,METEGHAN N.-E.
71100138,ALBERT BRIDGE NS
321800010,HUBLEY NS
156000080,LOCKEPORT NS
322300021,HATCHET LAKE NS
400042954,BRAS D'OR NS
322300031,HATCHET LAKE NS
321600020,BEECHVILLE NS
239000030,WEST NORTHFIELD NS
68500857,GLACE BAY NS
400041819,THORBURN NS
323200012,INDIAN HARBOUR NS
42400047,ST PETER'S NS
185600060,AVONPORT NS
319500282,EASTERN PASSAGE NS
400009809,NEW MINAS NS
120500038,POMQUET N.-E.
400042283,MARGAREE HARBOUR NS
90900039,THORBURN NS
400004533,DARTMOUTH NS
137300121,MILFORD NS
400012920,BARRINGTON NS
400043921,LIVERPOOL NS
13900068,PUGWASH NS
137700298,ENFIELD NS
400029119,STEWIACKE NS
259100007,BIG TANCOOK ISLAND NS
154300016,SHELBURNE NS
267800049,TRURO NS
16600166,AMHERST NS
68500281,GLACE BAY NS
400041604,HALIFAX N.-E.
400018425,COOKVILLE N.-E.
400039338,SYDNEY MINES NS
9700077,OXFORD NS
56700073,MIDDLE RIVER NS
400044598,AMHERST NS
400042357,KENTVILLE NS
