OBJECTID,ROUTE_NUM,CLASS,TITLE,SOURCE,SACC,SDATE,DATE_ACT,DATE_REV,Shape__Length
1,370,PEAK,PORTERS LAKE METROX,TRANSIT,IN,2013-11-18T00:00:00.000Z,2013-11-18T00:00:00.000Z,2018-02-07T00:00:00.000Z,53516.3588976408
2,194,PEAK,WEST BEDFORD EXPRESS,TRANSIT,IN,2017-08-21T00:00:00.000Z,2017-08-21T00:00:00.000Z,,56263.1827250866
3,400,BASE,BEAVER BANK,TRANSIT,IN,2009-01-19T00:00:00.000Z,2009-01-19T00:00:00.000Z,2012-08-27T00:00:00.000Z,25194.4450480297
4,59,WEEKDAY REGULAR,COLBY,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,21745.4353015634
5,59,SATURDAY,COLBY,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,21745.4353015634
6,65,PEAK,CALDWELL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2010-08-29T00:00:00.000Z,10762.3479694915
7,401,PEAK,PRESTON - PORTERS LAKE - GRAND DESERT,TRANSIT,IN,2009-01-19T00:00:00.000Z,2009-01-19T00:00:00.000Z,2012-08-27T00:00:00.000Z,54290.164254004
8,68,SATURDAY,CHERRYBROOK,TRANSIT,IN,2002-12-10T00:00:00.000Z,2002-12-10T00:00:00.000Z,2018-02-07T00:00:00.000Z,29765.3461322921
9,68,WEEKDAY REGULAR,CHERRYBROOK,TRANSIT,IN,2002-12-10T00:00:00.000Z,2002-12-10T00:00:00.000Z,2018-02-07T00:00:00.000Z,29765.3461322921
10,59,SUNDAY,COLBY,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,21745.4353015634
11,68,SUNDAY,CHERRYBROOK,TRANSIT,IN,2004-05-31T00:00:00.000Z,2004-05-31T00:00:00.000Z,2018-02-07T00:00:00.000Z,29765.3461322921
12,401,WEEKDAY REGULAR,PRESTON - PORTERS LAKE - GRAND DESERT,TRANSIT,IN,2009-01-19T00:00:00.000Z,2009-01-19T00:00:00.000Z,2012-08-27T00:00:00.000Z,54290.164254004
13,65,WEEKDAY REGULAR,CALDWELL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2010-08-29T00:00:00.000Z,10762.3479694915
14,65,SATURDAY,CALDWELL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2010-08-29T00:00:00.000Z,10762.3479694915
15,65,SUNDAY,CALDWELL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2010-08-29T00:00:00.000Z,10762.3479694915
16,79,PEAK,COLE HARBOUR EXPRESS,TRANSIT,IN,2014-05-19T00:00:00.000Z,2014-05-18T00:00:00.000Z,2017-11-06T00:00:00.000Z,18908.2112992568
17,59,PEAK,COLBY,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,31009.5810352143
18,61,BASE,AUBURN - NORTH PRESTON,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,44542.7947883484
19,68,PEAK,CHERRYBROOK,TRANSIT,IN,2002-12-10T00:00:00.000Z,2002-12-10T00:00:00.000Z,2018-02-07T00:00:00.000Z,40712.4548337393
