X,Y,OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,ACCESSIBLE,BUSPADID,FDMID,FCODE,SOURCE,SACC,ADDDATE,MODDATE
-63.576535373692558,44.648902461347518,2001,BS2265,6590,Yes,Duke St Before Albemarle St (6590),Accessible,CPD457,300001348,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2019-01-11T00:00:00.000Z
-63.61006880591902,44.712085747425562,2002,BS2407,7447,Yes,Pettipas Dr After Vidito Dr (7447),Non-Standard,CPD2384,200002958,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.570258569019622,44.645025285058232,2003,BS273,9006,Yes,Lower Water St Before Salter St (9006),Accessible,CPD694,300001665,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2019-01-08T00:00:00.000Z
-63.693105099331149,44.725663100920038,2004,BS1040,9056,Yes,Hammonds Plains Rd After Innovation Dr (9056),Non-Standard,CPD1411,100001111,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.54929899955544,44.705079901479372,2005,BS1032,8440,Yes,Waverley Rd After Lethbridge Ave (8440),Accessible,CPD216,200001848,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.601898399339539,44.644087700977252,2006,BS648,8134,Yes,Quinpool Rd Before Beech St (8134),Accessible,CPD1096,300001659,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.619791099762509,44.642558000980927,2007,BS2052,6410,Yes,Chebucto Rd Before Armdale Rotary (6410),Accessible,CPD1990,300001795,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.594451300057187,44.650350800983368,2008,BS1971,6545,Yes,Cunard St Opposite Hunter St (6545),Accessible,CPD2053,300001268,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.497274700317888,44.674512500854597,2009,BS599,8027,Yes,Poplar Dr Before Evergreen Dr (8027),Accessible,CPD1062,200001545,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.662751000727923,44.670506800918666,2010,BS2269,6594,Yes,Dunbrack St After Knightsridge Dr (6594),Accessible,CPD2252,700005262,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.670566899756913,44.661751801242161,2011,BS1555,7432,Yes,Parkland Dr Before Bethany Way (7432),Accessible,CPD1725,300003456,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.672083700622586,44.769917900584133,2012,BS517,6744,Yes,Glendale Dr After Pinehill Dr (6744),Accessible,CPD71,100000445,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.526769599877731,44.635819700857702,2013,BS2295,7484,Yes,Pleasant St After Belmont Ave (7484),Accessible,CPD400,200000220,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.619961900040742,44.632079900926421,2014,BS2338,6516,Yes,Cowie Hill Rd After Margate Dr (6516),Accessible,CPD2439,300002277,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.616231077189852,44.671904713983913,2015,BS957,8165,Yes,Northridge Rd Turning Loop (8165),Accessible,CPD166,700010510,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2019-01-10T00:00:00.000Z
-63.609659599950902,44.632547900749856,2016,BS972,8100,Yes,Purcells Cove Rd Opposite Pinehaven Dr (8100),Non-Standard,CPD1199,300002291,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.673409125298434,44.779448769594104,2017,BS2440,7208,Yes,Metropolitan Ave After First Lake Dr (7208),Non-Standard,CPD2411,100000649,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.572780216378938,44.644582259642732,2018,BS2083,6122,Yes,Barrington St Before Spring Garden Rd (6122),Accessible,CPD378,300001620,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2019-01-08T00:00:00.000Z
-63.518037100356999,44.672205501404783,2019,BS1533,8325,Yes,Spring Ave Before Pembroke Ct (8325),Non-Standard,CPD1707,200002356,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.707050350867398,44.705492362457981,2020,BS1196,7027,Yes,Larry Uteck Blvd Before Belle St (7027),Non-Standard,CPD1282,700010512,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.651833316040921,44.737882936370262,2021,BS1841,8227,Yes,Rockmanor Dr After Rocky Lake Dr (8227),Non-Standard,CPD1903,100001203,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.707746600009834,44.781474400993957,2022,BS51,7322,Yes,Sackville Dr Before Millwood Dr (7322),Accessible,CPD559,100000727,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.705791037704905,44.722754069317183,2023,BS2720,6330,Yes,Gary Martin Dr Before Lasalle Ct (6330),Accessible,CPD2558,700007326,Conventional Transit Bus Stop,August 2017,Coordinated Point,2017-06-28T00:00:00.000Z,2018-05-08T00:00:00.000Z
-63.538761757679438,44.670287374376429,2024,BS1250,8637,Yes,Penhorn Terminal Metrolink (8637),Accessible,CPD231,700004486,Terminal,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.699318614997367,44.767838588027168,2025,BS669,8961,Yes,Sackville Terminal Bay 5 (8961),Accessible,CPD2594,700010416,Terminal,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-05-09T00:00:00.000Z
-63.676737800244382,44.652813500790749,2026,BS2106,6387,Yes,Chain Lake Dr Opposite Civic 209 (6387),Accessible,CPD381,700005341,Conventional Transit Bus Stop,07/12/2016,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.507836121248047,44.621574727190577,2027,BS2421,7461,Yes,Main Rd Before Morris Ave (7461),Accessible,CPD2398,200002979,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.477417900001541,44.645199601209015,2028,BS1493,6061,Yes,Pearl Dr Before Amethyst Cr (6061),Accessible,CPD1791,700003523,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.571512392577432,44.666242342152842,2029,BS729,6026,Yes,Alderney Dr After Church St (6026),Accessible,CPD133,700004535,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
