PARK_ID,PARK_NAME,PARK_TYPE,DEVELOPED
5030,CONIFER COURT PARK,Neighbourhood,No
5032,OAKEN HILLS PARK,Community,No
5076,GRANITE COVE DRIVE PARK,Community,No
5209,SANDY RUN PARK,Neighbourhood,No
5210,BONSAI DRIVE COMMUNITY PARK,Community,Yes
5212,ASTRAL DRIVE NEIGHBOURHOOD PARK,Neighbourhood,No
5214,MARY CLAYTON MEMORIAL PARK,Neighbourhood,Yes
458,LAWRENCETOWN COMMUNITY CENTRE PARK,Community,Yes
465,PORTERS LAKE COMMUNITY CENTRE PARK,Community,Yes
5011,BELL BROOK PARK,Community,Yes
5012,WYNDHAM DRIVE PARK,Community,No
9,BRULE STREET PARK,Community,Yes
5015,KERRY DRIVE PARK,Neighbourhood,Yes
18,SCHOONER DRIVE PARK,Community,No
5016,ROSS ROAD SCHOOL PARK,Community,Yes
5196,MAPLE GROVE AVENUE PARK,Neighbourhood,No
5197,BUNCHBERRY LANE PARK,Community,No
2448,MCCABE BROOK PARK,Community,No
2451,POCKWOCK ROAD PARK,Community,No
2452,TATTENHAM CRESCENT PARK,Neighbourhood,No
2459,CARMEL CRESCENT PARK,Neighbourhood,Yes
2533,MACLENNAN DRIVE PARK,Community,No
5022,ASTRAL DRIVE ELEMENTARY & JUNIOR HIGH SCHOOL PARK,Community,Yes
5029,SOUTHBROOK CRESCENT PARK,Neighbourhood,No
379,DARTMOUTH COMMON,Regional,Yes
5198,PORTERS LAKE ELEMENTARY SCHOOL PARK,Community,Yes
36,BELVEDERE PARK,Neighbourhood,Yes
5234,RAFTING DRIVE NEIGHBOURHOOD PARK,Neighbourhood,Yes
5233,MCCABE LAKE DRIVE PARK,Community,No
2609,PERRY LAKE PARK,Community,Yes
2625,WAVERLEY ON THE GREEN PARK,Community,Yes
2633,RIDGE AVENUE PARK,Neighbourhood,No
5189,BRYANSTON ROAD PARK,Neighbourhood,No
5191,GRAFTON STREET PARK,Community,Yes
5192,BEECHVILLE LAKESIDE TIMBERLEA TRAIL PARK,Regional,Yes
5193,COLE HARBOUR SALT MARSH TRAIL,Regional,Yes
5194,JOSHUA SLOCUM AVENUE PARK,Neighbourhood,Yes
5195,MURRAY DRIVE PARK,Neighbourhood,Yes
469,ST. MARY'S BOAT CLUB PARK,District,Yes
493,BENNETT PARK,District,Yes
499,WENTWORTH STREET PARK,Neighbourhood,Yes
2561,GORDON R. SNOW COMMUNITY CENTRE PARK,District,Yes
2564,RICHARDSON DRIVE PARK,Community,Yes
2570,RYAN ROSEN PARK,Community,Yes
2580,WEIR PARK,District,Yes
502,MORRIS LAKE PARK,Community,Yes
5010,BEDFORD SOUTH SCHOOL PARK,Community,Yes
66,AFRICVILLE,Regional,Yes
72,O'CONNELL DRIVE ELEMENTARY SCHOOL PARK,Community,Yes
505,RAJEEVE PURBA MEMORIAL PARK,Neighbourhood,Yes
530,HIGH TIMBER DRIVE PARK,Neighbourhood,Yes
5017,HARBOURVIEW ELEMENTARY SCHOOL PARK,Community,Yes
2572,RAENA JUNE PERRY MEMORIAL PARK,Neighbourhood,Yes
5018,LOCKVIEW HIGH SCHOOL PARK,Community,Yes
5019,ASH LEE JEFFERSON ELEMENTARY SCHOOL PARK,Community,Yes
5004,MADELINE SYMONDS MIDDLE SCHOOL PARK,Community,Yes
5005,PARK WEST SCHOOL PARK,Community,Yes
5236,UNNAMED PARK AMESBURY GATE,Community,No
5237,SUMMER FIELD WAY PARK,,Yes
5238,MANSION AVENUE NEIGHBOURHOOD PARK,Neighbourhood,Yes
5239,MELHAM DRIVE COMMUNITY PARK,Community,Yes
2424,CAUDLE PARK ELEMENTARY SCHOOL PARK,Community,Yes
3122,ACRES ROAD PARK,Neighbourhood,No
3169,ELGIN STREET PARK,Neighbourhood,Yes
5240,SAVOY AVENUE COMMUNITY PARK,Community,No
367,NINE MILE DRIVE COMMUNITY PARK,Community,Yes
208,BROOKSIDE JUNIOR HIGH SCHOOL PARK,Community,Yes
2939,PROSPECT ROAD ELEMENTARY SCHOOL PARK,Community,Yes
5035,GEORGE BISSETT ELEMENTARY SCHOOL PARK,Community,Yes
5036,ALDERNEY ELEMENTARY SCHOOL PARK,Community,Yes
88,BISSETT LAKE PARK,District,Yes
5038,COLBY VILLAGE ELEMENTARY SCHOOL PARK,Community,Yes
5039,CALDWELL ROAD ELEMENTARY SCHOOL PARK,Community,Yes
5040,HILLSIDE ELEMENTARY PARK SCHOOL PARK,Community,Yes
166,HEMLOCK RAVINE PARK,Regional,Yes
1144,FRENCHMAN LAKE PARK,District,Yes
1636,HYDROSTONE PARK,Neighbourhood,Yes
1662,COGSWELL PARK,Neighbourhood,Yes
1407,ROACHES POND PARK,Community,Yes
1410,MICHELLE DRIVE PARK,Neighbourhood,No
1542,LEO LANIGAN PARK,Neighbourhood,Yes
5243,AMESBURY GATE COMMUNITY PARK,Community,No
5242,ABBINGTON AVENUE COMMUNITY PARK,Community,Yes
2640,BARRETT LAKE PARK,Community,No
3496,SPRINGFIELD LAKE BEACH PARK,District,Yes
3497,WESTWOOD PARK,Community,Yes
3499,MERIDIAN COURT PARK,Community,Yes
171,FORT NEEDHAM MEMORIAL PARK,Regional,Yes
508,ADMIRAL HARRY DEWOLF PARK,Community,Yes
509,MILLVIEW PARK,Neighbourhood,Yes
514,KENNETH WALKER PARK,Neighbourhood,Yes
1070,ROSEWOOD LANE PARK,Neighbourhood,Yes
1081,SEROP CRESCENT PARK,Neighbourhood,Yes
3,MARLBOROUGH WOODS PARK,Community,No
4,HISTORIC PROPERTIES,Regional,Yes
435,CAPTAIN WILLIAM SPRY CENTRE,District,Yes
436,CHOCOLATE LAKE COMMUNITY CENTRE PARK,Community,Yes
440,EAST PRESTON PARK,District,Yes
441,PEACE PARK,Community,Yes
443,FINDLAY COMMUNITY CENTRE PARK,Community,Yes
219,SILVER'S HILL PARK,Community,Yes
1203,PERRIN DRIVE PARK,District,No
168,GRAVES-OAKLEY MEMORIAL PARK,District,Yes
170,FULLER TERRACE PARK,Neighbourhood,Yes
1085,GREEN BAY PARK,Community,No
1104,HACKETTS COVE PARK,Community,Yes
3405,BALCOM PARK,Community,Yes
5033,LOST CREEK PARK,Community,No
34,HARTLEN PARK,Community,Yes
116,HENRY FINDLAY PARK,Regional,Yes
2090,BEDFORD LIONS PARK,District,Yes
2400,FIRST LAKE REGIONAL PARK,Regional,Yes
2747,UPLANDS PARK,Community,Yes
464,NORTHCLIFFE RECREATION CENTRE PARK,District,Yes
4024,ROCKINGHAM ELEMENTARY SCHOOL PARK,Community,Yes
5247,TITANIUM CRESCENT PARK,Neighbourhood,Yes
5248,TRAVERTINE COURT PARK,Neighbourhood,Yes
10,WESTERN COMMON,Regional,Yes
5002,EASTERN PASSAGE EDUCATION CENTRE,Community,Yes
795,DOHERTY DRIVE PARK,Community,Yes
797,GEORGE CYRIL DRIVE PARK,Neighbourhood,No
3239,UNNAMED PARK,Community,No
3273,TIDEWATER LANE PARK,Community,No
1292,CHASWOOD DRIVE PARK,Neighbourhood,Yes
2854,LAKESHORE DRIVE PARK,Community,Yes
3502,MACDONALD SPORTS PARK,District,Yes
157,LOCKS ROAD PARK,Neighbourhood,Yes
159,WADLOW PARK,Community,No
5227,ROSLEY ROAD PARK,Neighbourhood,No
982,CAROLYNS WAY PARK,Community,Yes
1160,LAKEMIST COURT PARK,Neighbourhood,Yes
1182,MORNINGTON COURT PARK,Community,Yes
40,PINE BLUFF ISLAND PARK,Neighbourhood,No
41,SULLIVAN'S POND PARK,Regional,Yes
2736,TWINING DRIVE PARK,Neighbourhood,No
2738,TAMARACK HILLS PARK,Neighbourhood,Yes
2750,LAKEVIEW TERRACE PARK,Community,No
176,CEDAR CRESCENT PARK,Neighbourhood,Yes
396,HOLLYOAKE LANE PARK,Neighbourhood,Yes
398,MONTAGUE ESTATES PARK,Neighbourhood,Yes
405,CHEBUCTO CONNAUGHT PARKETTE,Community,Yes
503,LAURA DRIVE PARK,Neighbourhood,Yes
283,GEORGES P. VANIER JUNIOR HIGH SCHOOL PARK,Community,Yes
342,ST. CATHERINE'S ELEMENTARY SCHOOL PARK,Community,Yes
165,HIGH STREET PARK,Neighbourhood,Yes
513,FARRELL STREET PARK,Community,Yes
89,ATHOLEA DRIVE PARK,Neighbourhood,Yes
1251,NEWCASTLE STREET PARK,Neighbourhood,Yes
124,LINDEN LEA FROG POND PARK,Neighbourhood,Yes
2845,RISING SUN TRAIL PARK,Neighbourhood,Yes
442,FALL RIVER RECREATION CENTRE PARK,Community,Yes
1091,AUTUMN DRIVE PARK,,Yes
2432,CORRECTIONAL CENTRE PARK,District,Yes
180,BROMPTON ROAD PARK,Neighbourhood,Yes
5228,SACKVILLE CROSS ROAD COMMUNITY PARK,Community,No
