Year,Gaming Activity,Total Wager,Prizes,Net Revenue,Operating Expenses,Commercial Revenue,Charitable Revenue,Provincial Revenue
1997/1998,ALC,"$182,311","$96,635","$85,677","$29,254","$17,919",$87,"$38,416"
1998/1999,ALC,"$187,833","$101,124","$86,709","$30,046","$17,921",$51,"$38,691"
1999/2000,ALC,"$194,620","$103,666","$90,954","$20,840","$17,064",$28,"$53,022"
2000/2001,ALC,"$204,055","$107,528","$96,527","$24,834","$17,870",$45,"$53,778"
2001/2002,ALC,"$204,421","$106,637","$97,784","$33,672","$18,022",$44,"$46,046"
2002/2003,ALC,"$212,259","$113,968","$98,291","$34,533","$18,718",$39,"$45,001"
2003/2004,ALC,"$206,281","$114,641","$91,640","$34,732","$18,484",$35,"$38,389"
2004/2005,ALC,"$200,471","$109,964","$90,507","$37,141","$17,292",$50,"$36,024"
2005/2006,ALC,"$210,677","$117,603","$93,074","$36,308","$17,112",$53,"$39,601"
2006/2007,ALC,"$215,124","$120,750","$94,374","$32,178","$14,507",$46,"$47,643"
2007/2008,ALC,"$203,334","$113,590","$89,744","$35,750","$13,531",$45,"$40,418"
2008/2009,ALC,"$203,562","$114,233","$89,329","$39,277","$13,304",$74,"$36,674"
2009/2010,ALC,"$199,574","$114,475","$85,099","$39,393","$12,797",$58,"$32,851"
2010/2011,ALC,"$216,119","$121,133","$94,986","$40,876","$14,035",$58,"$40,017"
2011/2012,ALC,"$207,295","$117,471","$89,824","$40,049","$13,830",$98,"$35,847"
2012/2013,ALC,"$214,035","$119,091","$94,944","$39,780","$13,827",$52,"$41,285"
2013/2014,ALC,"$217,537","$121,650","$95,887","$35,297","$14,113",$64,"$46,413"
2014/2015,ALC,"$208,528","$115,483","$93,045","$34,347","$13,689",$62,"$44,947"
2015/2016,ALC,"$231,200","$126,391","$104,809","$36,562","$15,066",$59,"$53,122"
2016/2017,ALC,"$220,307","$121,964","$98,343","$34,392","$14,358",$59,"$49,534"
2017/2018,ALC,"$225,333","$129,226","$96,107","$34,839","$14,469",$43,"$46,756"
1997/1998,Bingo,"$90,642","$66,219","$24,423","$8,766",$561,"$13,522","$1,575"
1998/1999,Bingo,"$92,544","$67,764","$24,780","$8,611",$388,"$14,303","$1,477"
1999/2000,Bingo,"$88,779","$64,956","$23,823","$7,991",$422,"$13,994","$1,416"
2000/2001,Bingo,"$87,482","$64,469","$23,013","$7,702",$340,"$13,574","$1,397"
2001/2002,Bingo,"$87,254","$64,149","$23,105","$7,460",$377,"$13,872","$1,396"
2002/2003,Bingo,"$84,853","$63,522","$21,331","$7,301",$339,"$12,303","$1,388"
2003/2004,Bingo,"$75,817","$57,548","$18,269","$6,685",$80,"$10,325","$1,179"
2004/2005,Bingo,"$73,076","$55,583","$17,493","$6,148",$30,"$10,197","$1,118"
2005/2006,Bingo,"$72,290","$54,298","$17,992","$5,937",$15,"$10,950","$1,090"
2006/2007,Bingo,"$67,359","$50,429","$16,930","$5,500",$0,"$10,356","$1,074"
2007/2008,Bingo,"$60,490","$45,344","$15,146","$5,160",$0,"$9,079",$907
2008/2009,Bingo,"$58,573","$43,071","$15,502","$5,040",$0,"$9,545",$917
