OBJECTID,COLLECT,COLL_AREA,SDATE,WR_COMMENT,CONTRACTOR,UNIQUE_ID,SACC,SOURCE,RECYCLEFRQ,CONTACT_PH,ORG_PILOT,COLL_SCHED,Shape__Area,Shape__Length
1,FRIDAY,AREA 8,2015-01-21T00:00:00.000Z, ,Eastern Shore Cartage,0,Interactive,Solid Waste,Bi-Weekly Zone B,885-2382, ,Area II,541710718.871094,111956.543875753
2,TUESDAY,AREA 8,2008-05-30T00:00:00.000Z, ,Eastern Shore Cartage,60,Interactive,Solid Waste,Bi-Weekly Zone A,885-2382, ,Area II,908749296.859375,148823.190356087
3,NO COLLECT,,2013-04-08T00:00:00.000Z,,,23,Interactive,Solid Waste,,,,,21910006.9453125,21696.9529451789
4,NO COLLECT,,2013-04-08T00:00:00.000Z,,,17,Interactive,Solid Waste,,,,,3170493.81640625,7748.63865327949
5,FRIDAY,AREA 8,2011-09-30T00:00:00.000Z, ,Eastern Shore Cartage,45,Interactive,Solid Waste,Bi-Weekly Zone B,885-2382, ,Area II,10288250.7226563,34683.4301050007
6,FRIDAY,AREA 5,2003-11-12T00:00:00.000Z, ,Green For Life,34,Interactive,Solid Waste,Bi-Weekly Zone B,902-468-9111,Y,Area I,443022739.640625,148404.461561533
7,NO COLLECT,,2013-04-08T00:00:00.000Z,,,11,Interactive,Solid Waste,,, ,,33224405.0273438,26552.7599562531
8,TUESDAY,AREA 8,2002-04-02T00:00:00.000Z, ,Eastern Shore Cartage,47,Interactive,Solid Waste,Bi-Weekly Zone B,885-2382, ,Area II,1345913265.69531,186134.393551293
9,TUESDAY,AREA 6,2015-07-02T00:00:00.000Z,"Effective June 27, 2016",REgroup,39,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area I,25185967.0898438,25531.539019413
10,FRIDAY,AREA 8,2016-09-30T00:00:00.000Z, ,Eastern Shore Cartage,50,Interactive,Solid Waste,Bi-Weekly Zone A,885-2382, ,Area II,1733969761.33984,238479.091619375
11,WEDNESDAY,AREA 8,2010-11-30T00:00:00.000Z, ,Eastern Shore Cartage,46,Interactive,Solid Waste,Bi-Weekly Zone B,885-2382, ,Area II,220561064.859375,74297.9089712099
12,NO COLLECT,,2013-04-08T00:00:00.000Z,,,31,Interactive,Solid Waste,,,,,2676271.5859375,7208.33950064949
13,NO COLLECT,,2013-04-08T00:00:00.000Z,,,6,Interactive,Solid Waste,,, ,,29137693.2265625,29365.7884592562
14,THURSDAY,AREA 8,2015-07-09T00:00:00.000Z, ,Eastern Shore Cartage,48,Interactive,Solid Waste,Bi-Weekly Zone A,885-2382, ,Area II,851710908.964844,177632.759595937
15,TUESDAY,AREA 7,2002-02-06T00:00:00.000Z, ,Leo J Beazley,43,Interactive,Solid Waste,Bi-Weekly Zone A,465-6053, ,Area II,188184947.769531,63684.1677922223
16,THURSDAY,AREA 8,2015-07-09T00:00:00.000Z, ,Eastern Shore Cartage,41,Interactive,Solid Waste,Bi-Weekly Zone B,885-2382, ,Area II,264549910.78125,94470.7550316448
17,TUESDAY,AREA 4,2001-07-25T00:00:00.000Z, ,Green For Life,28,Interactive,Solid Waste,Weekly,902-468-9111,Y,Area II,90335245.3085938,50559.2271214096
18,THURSDAY,AREA 4,2009-01-09T00:00:00.000Z, ,Green For Life,25,Interactive,Solid Waste,Bi-Weekly Zone A,902-468-9111, ,Area II,452539834.078125,140805.151050706
19,MONDAY,AREA 6,2015-07-02T00:00:00.000Z, ,REgroup,9,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area I,7455058.71875,15927.707565416
20,FRIDAY,AREA 6,2015-07-02T00:00:00.000Z, ,REgroup,38,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area I,76487940.3007813,55783.1818937364
21,MONDAY,AREA 5,2002-01-04T00:00:00.000Z, ,Green For Life,30,Interactive,Solid Waste,Bi-Weekly Zone B,902-468-9111, ,Area I,554732342.125,156226.246306143
22,WEDNESDAY,AREA 7,2015-07-15T00:00:00.000Z, ,Leo J Beazley,40,Interactive,Solid Waste,Bi-Weekly Zone A,465-6053, ,Area II,99678211.2851563,60310.8154406515
23,FRIDAY,AREA 7,2015-07-17T00:00:00.000Z, ,Leo J Beazley,99,Interactive,Solid Waste,Bi-Weekly Zone A,465-6053, ,Area II,94552416.09375,50092.5922857249
24,THURSDAY,AREA 4,2009-01-09T00:00:00.000Z, ,Green For Life,88,Interactive,Solid Waste,Bi-Weekly Zone A,902-468-9111, ,Area II,7710359.88671875,12551.4480331781
25,WEDNESDAY,AREA 8,2008-05-30T00:00:00.000Z, ,Eastern Shore Cartage,61,Interactive,Solid Waste,Bi-Weekly Zone A,885-2382, ,Area II,1714715608.41797,241229.293077238
26,FRIDAY,AREA 2,2003-04-28T00:00:00.000Z, ,REgroup,16,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area II,24717863.6054688,34429.7926939218
