X,Y,OBJECTID,JUNCTION_ID,JUNCTION_TYPE,PSEUDO_NODE_TYPE,MUN_CODE,JUNCDESCR,HRMINTRST,TRAFFICZONE,TRFSERVID,SIGNALRESP
-63.655851924074518,44.655382852978384,1774439,3440,Dead End,,Halifax Regional Municipality,,,,,
-63.654210589761021,44.762199037033035,1774440,3441,Intersection,,Halifax Regional Municipality,,,,,
-63.64072335235722,44.764979186292841,1774441,57314,Dead End,,Halifax Regional Municipality,,,,,
-63.655579473133685,44.666764598758689,1774442,3445,Intersection,,Halifax Regional Municipality,,,,,
-63.655524377660683,44.668733776043752,1774443,3446,Intersection,,Halifax Regional Municipality,,,,,
-63.655718807224154,44.655522465841941,1774444,3447,Intersection,,Halifax Regional Municipality,,,,,
-63.652841901322795,44.64626724959961,1774445,56044,Intersection,,Halifax Regional Municipality,,,,,
-63.660194524786725,44.76252336154927,1774446,3276,Intersection,,Halifax Regional Municipality,,,,,
-63.659631730261218,44.761998661872653,1774447,3294,Intersection,,Halifax Regional Municipality,,,,,
-63.659093447166569,44.792353122136952,1774448,3296,Intersection,,Halifax Regional Municipality,,,,,
-63.660352255475878,44.692296393832976,1774449,3299,Intersection,,Halifax Regional Municipality,,,,,
-63.65353397868904,44.72670242797038,1774450,3481,Intersection,,Halifax Regional Municipality,,,,,
-63.653446188132946,44.723151193815134,1774451,3483,Intersection,,Halifax Regional Municipality,,,,,
-63.654102731739805,44.675064547349137,1774452,3484,Dead End,,Halifax Regional Municipality,,,,,
-63.653359403689976,44.725978337766342,1774453,3486,Intersection,,Halifax Regional Municipality,,,,,
-63.653232209432261,44.736167900852344,1774454,3487,Intersection,,Halifax Regional Municipality,,,,,
-63.65310009240681,44.740741510226293,1774455,3488,Intersection,,Halifax Regional Municipality,,,,,
-63.653076197220237,44.737159256055598,1774456,3490,Intersection,,Halifax Regional Municipality,,,,,
-63.653229874710846,44.723844689365272,1774457,3491,Dead End,,Halifax Regional Municipality,,,,,
-63.656961935440179,44.467420160517719,1774458,3492,Intersection,,Halifax Regional Municipality,,,,,
-63.653066346294835,44.722108743693646,1774459,3495,Dead End,,Halifax Regional Municipality,,,,,
