OBJECTID,FULL_NAME,STR_NAME,STR_TYPE,MIX_FULL,MIX_NAME,GSA_LEFT,GSA_RIGHT,STR_CODE_L,STR_CODE_R,Shape__Length
998992,WOODCREST AVE,WOODCREST,AVE,Woodcrest Ave,Woodcrest,HALIFAX,HALIFAX,888,888,708.26886164735
998993,WOODILL ST,WOODILL,ST,Woodill St,Woodill,HALIFAX,HALIFAX,889,889,173.322593986646
998994,WOODLAWN TERR,WOODLAWN,TERR,Woodlawn Terr,Woodlawn,HALIFAX,HALIFAX,891,891,199.570632295711
998995,WOODWARD CRES,WOODWARD,CRES,Woodward Cres,Woodward,HALIFAX,HALIFAX,892,892,625.948480916763
998996,WRIGHT AVE,WRIGHT,AVE,Wright Ave,Wright,HALIFAX,HALIFAX,894,894,174.349003741105
998997,WYNDROCK DR,WYNDROCK,DR,Wyndrock Dr,Wyndrock,HALIFAX,HALIFAX,895,895,986.962979365417
998998,YALE ST,YALE,ST,Yale St,Yale,HALIFAX,HALIFAX,896,896,297.798617144918
998999,YORK ST,YORK,ST,York St,York,HALIFAX,HALIFAX,899,899,292.114759562525
999000,YOUNG AVE,YOUNG,AVE,Young Ave,Young,HALIFAX,HALIFAX,900,900,2381.24095219589
999001,SANDHURST CL,SANDHURST,CL,Sandhurst Cl,Sandhurst,HALIFAX,HALIFAX,903,903,177.001518569527
999002,WARD AVE,WARD,AVE,Ward Ave,Ward,HALIFAX,HALIFAX,847,847,111.225270046088
999003,WARREN ST,WARREN,ST,Warren St,Warren,HALIFAX,HALIFAX,848,848,167.817050810563
999004,UNIACKE ST,UNIACKE,ST,Uniacke St,Uniacke,HALIFAX,HALIFAX,829,829,238.127990398534
999005,VEITH ST,VEITH,ST,Veith St,Veith,HALIFAX,HALIFAX,834,834,606.50796135622
999006,VERNON ST,VERNON,ST,Vernon St,Vernon,HALIFAX,HALIFAX,835,835,1187.05787187843
999007,VICTORIA RD,VICTORIA,RD,Victoria Rd,Victoria,HALIFAX,HALIFAX,837,837,913.899757073384
999008,VIENNA ST,VIENNA,ST,Vienna St,Vienna,HALIFAX,HALIFAX,838,838,783.737249625333
999009,WHIMSICAL LAKE CRES,WHIMSICAL LAKE,CRES,Whimsical Lake Cres,Whimsical Lake,HALIFAX,HALIFAX,839,839,394.967334560294
999010,VIMY AVE,VIMY,AVE,Vimy Ave,Vimy,HALIFAX,HALIFAX,840,840,503.653945698764
999011,WAEGWOLTIC AVE,WAEGWOLTIC,AVE,Waegwoltic Ave,Waegwoltic,HALIFAX,HALIFAX,841,841,318.745247044166
999012,WAGNER AVE,WAGNER,AVE,Wagner Ave,Wagner,HALIFAX,HALIFAX,842,842,171.397363368019
999013,WALTON DR,WALTON,DR,Walton Dr,Walton,HALIFAX,HALIFAX,846,846,658.898078773309
999014,WOLFE CRES,WOLFE,CRES,Wolfe Cres,Wolfe,HALIFAX,HALIFAX,884,884,283.324156319209
999015,WOOD AVE,WOOD,AVE,Wood Ave,Wood,HALIFAX,HALIFAX,885,885,131.565573652981
999016,WOODBINE AVE,WOODBINE,AVE,Woodbine Ave,Woodbine,HALIFAX,HALIFAX,886,886,110.586023153595
999017,TOWERVIEW DR,TOWERVIEW,DR,Towerview Dr,Towerview,HALIFAX,HALIFAX,819,819,728.025179592643
999018,TRELYN RD,TRELYN,RD,Trelyn Rd,Trelyn,HALIFAX,HALIFAX,821,821,100.736984022564
999019,TRILLIUM TERR,TRILLIUM,TERR,Trillium Terr,Trillium,HALIFAX,HALIFAX,823,823,237.204742884895
999020,TUPPER GRV,TUPPER,GRV,Tupper Grv,Tupper,HALIFAX,HALIFAX,825,825,304.331713911461
999021,TWIN OAKS RD,TWIN OAKS,RD,Twin Oaks Rd,Twin Oaks,HALIFAX,HALIFAX,826,826,164.246847864375
999022,BARRINGTON ST,BARRINGTON,ST,Barrington St,Barrington,HALIFAX,HALIFAX,59,59,8233.93279597184
999023,BASINVIEW DR,BASINVIEW,DR,Basinview Dr,Basinview,HALIFAX,HALIFAX,60,60,799.900390815833
999024,HOLLAND ST,HOLLAND,ST,Holland St,Holland,HALIFAX,HALIFAX,67,67,169.400011387247
999025,BLISS ST,BLISS,ST,Bliss St,Bliss,HALIFAX,HALIFAX,104,104,250.415492002071
999026,BLOWERS ST,BLOWERS,ST,Blowers St,Blowers,HALIFAX,HALIFAX,107,107,306.910434582681
999027,BLUESTONE RD,BLUESTONE,RD,Bluestone Rd,Bluestone,HALIFAX,HALIFAX,109,109,575.267278948065
999028,BONAVENTURE DR,BONAVENTURE,DR,Bonaventure Dr,Bonaventure,HALIFAX,HALIFAX,111,111,139.878388424541
999029,BOND ST,BOND,ST,Bond St,Bond,HALIFAX,HALIFAX,112,112,166.455153417779
999030,BALMORAL RD,BALMORAL,RD,Balmoral Rd,Balmoral,HALIFAX,HALIFAX,56,56,517.083965492556
999031,WATERLOO ST,WATERLOO,ST,Waterloo St,Waterloo,HALIFAX,HALIFAX,851,851,298.054561182568
