Offence Statute,Description,Year Convicted,Convictions
MVA 100D,Cellphone distracted driving,01/01/2010 12:00:00 AM,"3,181"
MVA 100D,Cellphone distracted driving,01/01/2011 12:00:00 AM,"2,964"
MVA 100D,Cellphone distracted driving,01/01/2012 12:00:00 AM,"3,528"
MVA 100D,Cellphone distracted driving,01/01/2013 12:00:00 AM,"4,317"
MVA 100D,Cellphone distracted driving,01/01/2014 12:00:00 AM,"5,108"
MVA 103(3),Passing a school bus with red lights flashing,01/01/2010 12:00:00 AM,63
MVA 103(3),Passing a school bus with red lights flashing,01/01/2011 12:00:00 AM,43
MVA 103(3),Passing a school bus with red lights flashing,01/01/2012 12:00:00 AM,43
MVA 103(3),Passing a school bus with red lights flashing,01/01/2013 12:00:00 AM,47
MVA 103(3),Passing a school bus with red lights flashing,01/01/2014 12:00:00 AM,35
MVA 103(3),Passing a school bus with red lights flashing,01/01/2017 12:00:00 AM,129
MVA 100D,Cellphone distracted driving,01/01/2015 12:00:00 AM,"4,297"
MVA 100D,Cellphone distracted driving,01/01/2017 12:00:00 AM,"2,958"
MVA 103(3),Passing a school bus with red lights flashing,01/01/2015 12:00:00 AM,61
MVA 103(3),Passing a school bus with red lights flashing,01/01/2016 12:00:00 AM,69
MVA 100D,Cellphone distracted driving,01/01/2016 12:00:00 AM,"2,619"
